year,Sixto
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,10
1917,8
1918,8
1919,6
1920,0
1921,11
1922,13
1923,5
1924,6
1925,6
1926,6
1927,10
1928,14
1929,13
1930,10
1931,6
1932,13
1933,6
1934,12
1935,6
1936,10
1937,5
1938,8
1939,6
1940,7
1941,7
1942,12
1943,0
1944,13
1945,11
1946,9
1947,13
1948,18
1949,11
1950,17
1951,9
1952,16
1953,16
1954,13
1955,18
1956,25
1957,24
1958,21
1959,12
1960,19
1961,15
1962,23
1963,28
1964,28
1965,26
1966,17
1967,16
1968,22
1969,23
1970,27
1971,18
1972,16
1973,22
1974,22
1975,28
1976,19
1977,24
1978,17
1979,28
1980,18
1981,28
1982,17
1983,23
1984,14
1985,19
1986,24
1987,19
1988,18
1989,22
1990,18
1991,13
1992,21
1993,30
1994,37
1995,16
1996,21
1997,15
1998,25
1999,24
2000,24
2001,30
2002,21
2003,20
2004,15
2005,21
2006,30
2007,20
2008,18
2009,13
2010,18
2011,20
2012,14
