year,Sari
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,0
1915,7
1916,11
1917,11
1918,8
1919,13
1920,5
1921,0
1922,5
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,6
1931,0
1932,11
1933,16
1934,11
1935,13
1936,9
1937,9
1938,5
1939,10
1940,9
1941,16
1942,18
1943,18
1944,13
1945,13
1946,14
1947,21
1948,21
1949,32
1950,36
1951,48
1952,48
1953,37
1954,55
1955,50
1956,64
1957,65
1958,46
1959,46
1960,64
1961,49
1962,42
1963,49
1964,44
1965,60
1966,46
1967,46
1968,29
1969,47
1970,54
1971,48
1972,36
1973,46
1974,45
1975,51
1976,51
1977,49
1978,52
1979,55
1980,47
1981,47
1982,50
1983,47
1984,38
1985,50
1986,31
1987,45
1988,43
1989,40
1990,56
1991,42
1992,35
1993,29
1994,41
1995,31
1996,28
1997,39
1998,37
1999,39
2000,33
2001,27
2002,27
2003,32
2004,37
2005,43
2006,43
2007,65
2008,53
2009,32
2010,38
2011,53
2012,43
