year,Sada
1880,6
1881,0
1882,5
1883,0
1884,8
1885,0
1886,10
1887,0
1888,8
1889,13
1890,10
1891,9
1892,7
1893,9
1894,9
1895,6
1896,8
1897,0
1898,7
1899,11
1900,5
1901,5
1902,12
1903,0
1904,5
1905,0
1906,6
1907,9
1908,0
1909,9
1910,6
1911,7
1912,0
1913,6
1914,0
1915,0
1916,10
1917,13
1918,14
1919,10
1920,6
1921,11
1922,9
1923,11
1924,7
1925,8
1926,15
1927,7
1928,5
1929,11
1930,5
1931,5
1932,9
1933,6
1934,7
1935,0
1936,0
1937,7
1938,0
1939,0
1940,6
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,6
1976,0
1977,11
1978,24
1979,13
1980,18
1981,7
1982,7
1983,7
1984,9
1985,40
1986,81
1987,48
1988,47
1989,50
1990,39
1991,28
1992,25
1993,29
1994,16
1995,12
1996,23
1997,9
1998,16
1999,18
2000,12
2001,18
2002,26
2003,32
2004,20
2005,22
2006,18
2007,12
2008,19
2009,11
2010,9
2011,16
2012,0
