year,Serafin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,6
1917,0
1918,14
1919,13
1920,12
1921,19
1922,13
1923,12
1924,10
1925,10
1926,12
1927,18
1928,14
1929,12
1930,11
1931,12
1932,11
1933,9
1934,13
1935,14
1936,14
1937,7
1938,9
1939,10
1940,11
1941,6
1942,8
1943,6
1944,11
1945,9
1946,5
1947,14
1948,11
1949,11
1950,14
1951,9
1952,14
1953,17
1954,10
1955,15
1956,10
1957,8
1958,10
1959,12
1960,16
1961,20
1962,17
1963,12
1964,15
1965,19
1966,14
1967,12
1968,12
1969,18
1970,12
1971,13
1972,12
1973,19
1974,14
1975,18
1976,18
1977,25
1978,19
1979,18
1980,23
1981,28
1982,26
1983,18
1984,25
1985,20
1986,22
1987,16
1988,13
1989,24
1990,29
1991,24
1992,26
1993,33
1994,20
1995,16
1996,28
1997,18
1998,26
1999,23
2000,21
2001,27
2002,29
2003,22
2004,30
2005,27
2006,32
2007,17
2008,30
2009,24
2010,23
2011,12
2012,12
