year,Sudie
1880,27
1881,27
1882,47
1883,30
1884,47
1885,33
1886,45
1887,37
1888,54
1889,46
1890,42
1891,39
1892,40
1893,46
1894,51
1895,41
1896,52
1897,46
1898,88
1899,36
1900,63
1901,54
1902,57
1903,60
1904,49
1905,50
1906,37
1907,65
1908,36
1909,58
1910,61
1911,51
1912,82
1913,75
1914,84
1915,80
1916,99
1917,90
1918,86
1919,81
1920,81
1921,85
1922,85
1923,93
1924,85
1925,84
1926,77
1927,65
1928,53
1929,51
1930,57
1931,45
1932,42
1933,36
1934,46
1935,43
1936,45
1937,46
1938,38
1939,27
1940,40
1941,44
1942,40
1943,32
1944,23
1945,34
1946,39
1947,27
1948,28
1949,45
1950,28
1951,31
1952,12
1953,20
1954,33
1955,17
1956,13
1957,14
1958,17
1959,14
1960,8
1961,12
1962,6
1963,6
1964,8
1965,11
1966,6
1967,7
1968,0
1969,0
1970,5
1971,7
1972,8
1973,0
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
