year,Servando
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,5
1920,0
1921,8
1922,5
1923,10
1924,10
1925,12
1926,6
1927,6
1928,15
1929,9
1930,9
1931,10
1932,12
1933,12
1934,7
1935,13
1936,10
1937,14
1938,5
1939,6
1940,6
1941,6
1942,13
1943,11
1944,7
1945,7
1946,14
1947,18
1948,14
1949,11
1950,13
1951,16
1952,11
1953,24
1954,13
1955,11
1956,19
1957,17
1958,11
1959,18
1960,17
1961,18
1962,18
1963,15
1964,8
1965,15
1966,11
1967,15
1968,14
1969,7
1970,12
1971,20
1972,23
1973,15
1974,24
1975,25
1976,25
1977,18
1978,21
1979,23
1980,21
1981,30
1982,25
1983,27
1984,25
1985,23
1986,27
1987,29
1988,28
1989,30
1990,28
1991,36
1992,35
1993,32
1994,53
1995,38
1996,38
1997,47
1998,39
1999,37
2000,47
2001,54
2002,45
2003,50
2004,56
2005,35
2006,33
2007,59
2008,41
2009,31
2010,15
2011,24
2012,16
