year,Shaun (F),Shaun (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000004
1936,0.000000,0.000007
1937,0.000000,0.000006
1938,0.000000,0.000004
1939,0.000000,0.000009
1940,0.000000,0.000004
1941,0.000000,0.000006
1942,0.000000,0.000006
1943,0.000000,0.000007
1944,0.000000,0.000008
1945,0.000002,0.000006
1946,0.000002,0.000012
1947,0.000000,0.000009
1948,0.000000,0.000009
1949,0.000004,0.000009
1950,0.000005,0.000017
1951,0.000004,0.000010
1952,0.000006,0.000012
1953,0.000007,0.000019
1954,0.000009,0.000025
1955,0.000015,0.000029
1956,0.000013,0.000034
1957,0.000013,0.000050
1958,0.000012,0.000045
1959,0.000019,0.000065
1960,0.000012,0.000057
1961,0.000017,0.000069
1962,0.000017,0.000096
1963,0.000025,0.000121
1964,0.000031,0.000148
1965,0.000030,0.000154
1966,0.000036,0.000169
1967,0.000032,0.000213
1968,0.000029,0.000252
1969,0.000027,0.000253
1970,0.000038,0.000274
1971,0.000025,0.000316
1972,0.000020,0.000302
1973,0.000018,0.000248
1974,0.000018,0.000263
1975,0.000016,0.000233
1976,0.000014,0.000206
1977,0.000029,0.000811
1978,0.000037,0.001924
1979,0.000032,0.001423
1980,0.000021,0.001140
1981,0.000021,0.000978
1982,0.000016,0.000900
1983,0.000012,0.000712
1984,0.000014,0.000646
1985,0.000014,0.000659
1986,0.000012,0.000581
1987,0.000007,0.000508
1988,0.000009,0.000449
1989,0.000007,0.000362
1990,0.000009,0.000343
1991,0.000007,0.000305
1992,0.000008,0.000257
1993,0.000008,0.000251
1994,0.000008,0.000210
1995,0.000008,0.000194
1996,0.000006,0.000177
1997,0.000006,0.000174
1998,0.000006,0.000188
1999,0.000006,0.000186
2000,0.000005,0.000199
2001,0.000003,0.000175
2002,0.000005,0.000170
2003,0.000003,0.000181
2004,0.000005,0.000173
2005,0.000004,0.000188
2006,0.000002,0.000229
2007,0.000004,0.000193
2008,0.000003,0.000170
2009,0.000003,0.000144
2010,0.000004,0.000147
2011,0.000002,0.000117
2012,0.000002,0.000106
2013,0.000001,0.000090
