year,Sharrie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,15
1942,12
1943,13
1944,9
1945,14
1946,5
1947,13
1948,16
1949,8
1950,17
1951,9
1952,6
1953,12
1954,15
1955,17
1956,17
1957,31
1958,26
1959,19
1960,25
1961,32
1962,27
1963,26
1964,20
1965,26
1966,23
1967,22
1968,14
1969,23
1970,15
1971,22
1972,15
1973,15
1974,9
1975,0
1976,10
1977,18
1978,12
1979,9
1980,14
1981,9
1982,0
1983,9
1984,8
1985,10
1986,11
1987,8
1988,6
1989,12
1990,7
1991,0
1992,0
1993,9
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
