year,Starlette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,11
1948,5
1949,6
1950,5
1951,7
1952,7
1953,7
1954,8
1955,12
1956,10
1957,13
1958,0
1959,11
1960,16
1961,12
1962,13
1963,14
1964,16
1965,19
1966,17
1967,7
1968,15
1969,16
1970,8
1971,10
1972,9
1973,8
1974,6
1975,11
1976,14
1977,19
1978,16
1979,13
1980,10
1981,16
1982,21
1983,15
1984,15
1985,8
1986,7
1987,11
1988,13
1989,6
1990,8
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,8
1998,0
1999,5
2000,9
2001,7
2002,6
2003,0
2004,0
2005,6
2006,16
2007,6
2008,6
2009,6
2010,15
2011,7
2012,8
