year,Sharonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,6
1960,8
1961,7
1962,26
1963,12
1964,22
1965,50
1966,64
1967,66
1968,62
1969,125
1970,146
1971,179
1972,166
1973,204
1974,229
1975,238
1976,220
1977,230
1978,274
1979,291
1980,299
1981,265
1982,257
1983,237
1984,226
1985,220
1986,206
1987,207
1988,189
1989,154
1990,141
1991,167
1992,121
1993,94
1994,72
1995,66
1996,53
1997,35
1998,30
1999,38
2000,27
2001,28
2002,25
2003,14
2004,8
2005,5
2006,6
2007,7
2008,5
2009,6
2010,0
2011,0
2012,0
