year,Signe
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,6
1887,9
1888,13
1889,15
1890,15
1891,12
1892,30
1893,27
1894,23
1895,23
1896,24
1897,29
1898,24
1899,21
1900,28
1901,20
1902,19
1903,29
1904,20
1905,27
1906,28
1907,27
1908,25
1909,31
1910,31
1911,37
1912,43
1913,46
1914,45
1915,67
1916,42
1917,52
1918,51
1919,40
1920,54
1921,44
1922,26
1923,30
1924,25
1925,23
1926,20
1927,22
1928,13
1929,12
1930,12
1931,14
1932,13
1933,13
1934,9
1935,8
1936,9
1937,13
1938,10
1939,16
1940,17
1941,17
1942,24
1943,17
1944,22
1945,32
1946,36
1947,46
1948,38
1949,34
1950,42
1951,39
1952,39
1953,21
1954,30
1955,25
1956,25
1957,28
1958,20
1959,22
1960,23
1961,17
1962,24
1963,23
1964,23
1965,13
1966,18
1967,13
1968,20
1969,15
1970,22
1971,7
1972,20
1973,13
1974,9
1975,11
1976,19
1977,6
1978,10
1979,14
1980,6
1981,13
1982,16
1983,12
1984,11
1985,10
1986,10
1987,12
1988,10
1989,10
1990,17
1991,15
1992,13
1993,10
1994,15
1995,14
1996,20
1997,17
1998,13
1999,18
2000,18
2001,16
2002,17
2003,17
2004,16
2005,22
2006,17
2007,22
2008,23
2009,18
2010,22
2011,23
2012,16
