year,Sheryle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,7
1939,0
1940,7
1941,7
1942,12
1943,19
1944,26
1945,31
1946,52
1947,60
1948,52
1949,48
1950,53
1951,37
1952,49
1953,40
1954,48
1955,51
1956,53
1957,56
1958,64
1959,63
1960,31
1961,39
1962,23
1963,36
1964,31
1965,25
1966,19
1967,25
1968,24
1969,21
1970,14
1971,13
1972,11
1973,12
1974,12
1975,0
1976,7
1977,5
1978,6
1979,8
1980,5
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,7
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
