year,September
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,20
1956,15
1957,24
1958,7
1959,17
1960,19
1961,29
1962,34
1963,37
1964,27
1965,27
1966,19
1967,16
1968,22
1969,24
1970,21
1971,27
1972,19
1973,25
1974,31
1975,43
1976,38
1977,49
1978,43
1979,50
1980,51
1981,47
1982,49
1983,39
1984,41
1985,40
1986,38
1987,37
1988,31
1989,29
1990,32
1991,34
1992,46
1993,44
1994,33
1995,33
1996,31
1997,30
1998,29
1999,28
2000,37
2001,26
2002,42
2003,32
2004,33
2005,20
2006,39
2007,32
2008,41
2009,29
2010,35
2011,28
2012,24
