year,Sophronia
1880,15
1881,16
1882,14
1883,11
1884,19
1885,16
1886,17
1887,17
1888,22
1889,17
1890,15
1891,13
1892,17
1893,19
1894,13
1895,26
1896,21
1897,15
1898,15
1899,19
1900,33
1901,10
1902,14
1903,24
1904,20
1905,11
1906,19
1907,19
1908,16
1909,19
1910,15
1911,11
1912,23
1913,22
1914,22
1915,27
1916,26
1917,20
1918,17
1919,16
1920,24
1921,28
1922,26
1923,17
1924,17
1925,22
1926,27
1927,12
1928,16
1929,12
1930,21
1931,20
1932,19
1933,10
1934,17
1935,8
1936,9
1937,14
1938,13
1939,10
1940,11
1941,10
1942,18
1943,10
1944,14
1945,8
1946,11
1947,13
1948,17
1949,13
1950,11
1951,14
1952,8
1953,19
1954,16
1955,8
1956,13
1957,15
1958,6
1959,0
1960,5
1961,6
1962,10
1963,8
1964,8
1965,5
1966,0
1967,6
1968,5
1969,7
1970,8
1971,0
1972,0
1973,5
1974,6
1975,10
1976,8
1977,0
1978,9
1979,5
1980,0
1981,5
1982,7
1983,0
1984,7
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,7
2007,5
2008,6
2009,6
2010,0
2011,0
2012,6
