year,Spring
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,7
1952,30
1953,27
1954,37
1955,41
1956,104
1957,77
1958,44
1959,34
1960,29
1961,20
1962,26
1963,23
1964,18
1965,24
1966,23
1967,11
1968,28
1969,57
1970,100
1971,81
1972,91
1973,86
1974,85
1975,162
1976,250
1977,181
1978,174
1979,176
1980,128
1981,113
1982,76
1983,71
1984,66
1985,46
1986,42
1987,24
1988,42
1989,35
1990,45
1991,30
1992,21
1993,22
1994,27
1995,30
1996,28
1997,32
1998,34
1999,25
2000,33
2001,25
2002,25
2003,29
2004,23
2005,23
2006,18
2007,22
2008,14
2009,20
2010,11
2011,16
2012,12
