year,Skyler (F),Skyler (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000000
1947,0.000000,0.000000
1948,0.000000,0.000000
1949,0.000000,0.000000
1950,0.000000,0.000000
1951,0.000000,0.000000
1952,0.000000,0.000000
1953,0.000000,0.000000
1954,0.000000,0.000002
1955,0.000000,0.000000
1956,0.000000,0.000001
1957,0.000000,0.000001
1958,0.000000,0.000001
1959,0.000000,0.000002
1960,0.000000,0.000002
1961,0.000000,0.000001
1962,0.000000,0.000000
1963,0.000000,0.000002
1964,0.000000,0.000003
1965,0.000000,0.000002
1966,0.000000,0.000001
1967,0.000000,0.000002
1968,0.000000,0.000000
1969,0.000000,0.000001
1970,0.000000,0.000002
1971,0.000000,0.000004
1972,0.000000,0.000003
1973,0.000000,0.000003
1974,0.000000,0.000007
1975,0.000002,0.000009
1976,0.000000,0.000008
1977,0.000003,0.000011
1978,0.000002,0.000016
1979,0.000004,0.000017
1980,0.000004,0.000023
1981,0.000005,0.000051
1982,0.000004,0.000057
1983,0.000005,0.000070
1984,0.000008,0.000091
1985,0.000005,0.000110
1986,0.000012,0.000119
1987,0.000026,0.000126
1988,0.000023,0.000149
1989,0.000023,0.000176
1990,0.000072,0.000214
1991,0.000058,0.000226
1992,0.000082,0.000286
1993,0.000107,0.000316
1994,0.000103,0.000365
1995,0.000120,0.000365
1996,0.000147,0.000382
1997,0.000175,0.000383
1998,0.000278,0.000376
1999,0.000330,0.000386
2000,0.000340,0.000390
2001,0.000306,0.000403
2002,0.000311,0.000417
2003,0.000298,0.000391
2004,0.000270,0.000373
2005,0.000265,0.000365
2006,0.000262,0.000324
2007,0.000219,0.000316
2008,0.000195,0.000333
2009,0.000199,0.000349
2010,0.000173,0.000357
2011,0.000179,0.000334
2012,0.000229,0.000336
2013,0.000239,0.000308
2014,0.000293,0.000248
2015,0.000303,0.000247
2016,0.000248,0.000209
2017,0.000229,0.000182
2018,0.000218,0.000172
2019,0.000205,0.000163
2020,0.000198,0.000148
