year,Shelby (F),Shelby (M)
1880,0.000000,0.000040
1881,0.000000,0.000057
1882,0.000000,0.000059
1883,0.000000,0.000037
1884,0.000000,0.000066
1885,0.000000,0.000042
1886,0.000000,0.000035
1887,0.000000,0.000057
1888,0.000000,0.000050
1889,0.000000,0.000038
1890,0.000000,0.000036
1891,0.000000,0.000021
1892,0.000000,0.000057
1893,0.000000,0.000034
1894,0.000000,0.000041
1895,0.000000,0.000046
1896,0.000000,0.000039
1897,0.000000,0.000040
1898,0.000000,0.000058
1899,0.000000,0.000050
1900,0.000000,0.000044
1901,0.000000,0.000040
1902,0.000000,0.000028
1903,0.000000,0.000047
1904,0.000000,0.000030
1905,0.000000,0.000042
1906,0.000000,0.000068
1907,0.000000,0.000030
1908,0.000000,0.000063
1909,0.000000,0.000051
1910,0.000000,0.000049
1911,0.000000,0.000047
1912,0.000000,0.000049
1913,0.000004,0.000033
1914,0.000004,0.000059
1915,0.000003,0.000049
1916,0.000005,0.000052
1917,0.000004,0.000059
1918,0.000002,0.000052
1919,0.000003,0.000067
1920,0.000004,0.000064
1921,0.000005,0.000058
1922,0.000004,0.000056
1923,0.000003,0.000055
1924,0.000003,0.000046
1925,0.000004,0.000055
1926,0.000000,0.000052
1927,0.000005,0.000053
1928,0.000008,0.000043
1929,0.000005,0.000050
1930,0.000000,0.000050
1931,0.000005,0.000052
1932,0.000008,0.000049
1933,0.000009,0.000058
1934,0.000008,0.000064
1935,0.000032,0.000058
1936,0.000516,0.000073
1937,0.000937,0.000095
1938,0.000774,0.000096
1939,0.000529,0.000094
1940,0.000437,0.000077
1941,0.000339,0.000069
1942,0.000219,0.000058
1943,0.000174,0.000071
1944,0.000136,0.000060
1945,0.000126,0.000057
1946,0.000124,0.000054
1947,0.000102,0.000040
1948,0.000077,0.000046
1949,0.000069,0.000042
1950,0.000071,0.000041
1951,0.000063,0.000044
1952,0.000060,0.000036
1953,0.000068,0.000031
1954,0.000078,0.000038
1955,0.000086,0.000038
1956,0.000083,0.000032
1957,0.000087,0.000030
1958,0.000093,0.000031
1959,0.000086,0.000032
1960,0.000074,0.000038
1961,0.000093,0.000032
1962,0.000091,0.000029
1963,0.000093,0.000035
1964,0.000082,0.000030
1965,0.000076,0.000031
1966,0.000088,0.000045
1967,0.000085,0.000038
1968,0.000094,0.000042
1969,0.000094,0.000050
1970,0.000111,0.000044
1971,0.000162,0.000055
1972,0.000240,0.000055
1973,0.000224,0.000057
1974,0.000263,0.000061
1975,0.000247,0.000065
1976,0.000189,0.000058
1977,0.000174,0.000059
1978,0.000152,0.000053
1979,0.000129,0.000043
1980,0.000140,0.000039
1981,0.000148,0.000039
1982,0.000124,0.000036
1983,0.000185,0.000045
1984,0.000299,0.000042
1985,0.000248,0.000050
1986,0.000253,0.000048
1987,0.000249,0.000049
1988,0.000239,0.000050
1989,0.000313,0.000053
1990,0.000890,0.000090
1991,0.002624,0.000135
1992,0.002447,0.000118
1993,0.002155,0.000107
1994,0.002030,0.000097
1995,0.002085,0.000092
1996,0.002181,0.000084
1997,0.001849,0.000055
1998,0.001603,0.000045
1999,0.001359,0.000046
2000,0.001207,0.000034
2001,0.001167,0.000027
2002,0.001060,0.000029
2003,0.000930,0.000020
2004,0.000783,0.000023
2005,0.000739,0.000018
2006,0.000662,0.000018
2007,0.000589,0.000018
2008,0.000547,0.000019
2009,0.000507,0.000012
2010,0.000454,0.000012
2011,0.000399,0.000012
2012,0.000396,0.000013
