year,Sharlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,7
1937,9
1938,9
1939,11
1940,14
1941,15
1942,12
1943,18
1944,21
1945,28
1946,34
1947,32
1948,43
1949,31
1950,39
1951,17
1952,32
1953,23
1954,28
1955,22
1956,18
1957,15
1958,25
1959,14
1960,30
1961,34
1962,28
1963,21
1964,22
1965,22
1966,19
1967,24
1968,23
1969,32
1970,20
1971,18
1972,11
1973,15
1974,13
1975,15
1976,12
1977,13
1978,8
1979,7
1980,8
1981,9
1982,8
1983,11
1984,15
1985,15
1986,9
1987,12
1988,15
1989,19
1990,15
1991,16
1992,10
1993,11
1994,11
1995,10
1996,12
1997,7
1998,6
1999,11
2000,11
2001,10
2002,11
2003,14
2004,35
2005,28
2006,30
2007,26
2008,23
2009,24
2010,18
2011,15
2012,24
