year,Sheilah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,11
1935,17
1936,16
1937,28
1938,16
1939,12
1940,28
1941,37
1942,29
1943,39
1944,33
1945,41
1946,45
1947,49
1948,60
1949,54
1950,58
1951,59
1952,67
1953,82
1954,88
1955,198
1956,79
1957,86
1958,81
1959,84
1960,58
1961,32
1962,49
1963,50
1964,53
1965,37
1966,37
1967,42
1968,20
1969,39
1970,46
1971,31
1972,26
1973,24
1974,23
1975,30
1976,31
1977,22
1978,28
1979,18
1980,12
1981,11
1982,11
1983,10
1984,8
1985,14
1986,14
1987,11
1988,11
1989,5
1990,7
1991,9
1992,9
1993,9
1994,7
1995,0
1996,8
1997,0
1998,6
1999,0
2000,6
2001,7
2002,0
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,5
2010,0
2011,0
2012,0
