year,Sera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,9
1971,0
1972,5
1973,0
1974,7
1975,9
1976,13
1977,16
1978,17
1979,16
1980,19
1981,18
1982,13
1983,16
1984,7
1985,20
1986,23
1987,25
1988,25
1989,30
1990,21
1991,22
1992,20
1993,25
1994,23
1995,26
1996,64
1997,76
1998,73
1999,72
2000,53
2001,66
2002,62
2003,58
2004,57
2005,48
2006,50
2007,37
2008,39
2009,42
2010,39
2011,40
2012,27
