year,Shonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,7
1955,18
1956,9
1957,28
1958,26
1959,23
1960,41
1961,52
1962,48
1963,75
1964,97
1965,117
1966,159
1967,180
1968,219
1969,402
1970,510
1971,466
1972,438
1973,468
1974,440
1975,441
1976,420
1977,315
1978,306
1979,270
1980,235
1981,207
1982,184
1983,171
1984,146
1985,128
1986,103
1987,111
1988,84
1989,71
1990,67
1991,62
1992,56
1993,38
1994,45
1995,30
1996,19
1997,21
1998,17
1999,14
2000,16
2001,5
2002,7
2003,5
2004,8
2005,0
2006,9
2007,5
2008,5
2009,0
2010,0
2011,0
2012,0
