year,Sylvana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,9
1952,0
1953,10
1954,0
1955,11
1956,12
1957,6
1958,0
1959,6
1960,5
1961,11
1962,5
1963,0
1964,0
1965,5
1966,0
1967,9
1968,0
1969,9
1970,7
1971,9
1972,6
1973,0
1974,5
1975,5
1976,0
1977,10
1978,7
1979,6
1980,12
1981,11
1982,11
1983,7
1984,10
1985,19
1986,10
1987,16
1988,14
1989,18
1990,17
1991,17
1992,16
1993,16
1994,22
1995,14
1996,11
1997,14
1998,12
1999,15
2000,14
2001,11
2002,20
2003,13
2004,14
2005,16
2006,17
2007,20
2008,24
2009,16
2010,19
2011,15
2012,17
