year,Shawnna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,6
1957,6
1958,0
1959,14
1960,7
1961,11
1962,15
1963,30
1964,25
1965,29
1966,30
1967,38
1968,58
1969,85
1970,117
1971,87
1972,91
1973,90
1974,105
1975,75
1976,93
1977,144
1978,109
1979,126
1980,89
1981,85
1982,89
1983,90
1984,75
1985,63
1986,65
1987,65
1988,62
1989,56
1990,61
1991,59
1992,76
1993,66
1994,52
1995,48
1996,40
1997,37
1998,32
1999,30
2000,19
2001,15
2002,11
2003,21
2004,21
2005,20
2006,30
2007,14
2008,14
2009,16
2010,19
2011,9
2012,9
