year,Salvador (F),Salvador (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000015
1894,0.000000,0.000018
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000020
1901,0.000000,0.000020
1902,0.000000,0.000028
1903,0.000000,0.000024
1904,0.000000,0.000027
1905,0.000000,0.000017
1906,0.000000,0.000037
1907,0.000000,0.000045
1908,0.000000,0.000035
1909,0.000000,0.000037
1910,0.000000,0.000041
1911,0.000000,0.000036
1912,0.000000,0.000031
1913,0.000000,0.000048
1914,0.000000,0.000051
1915,0.000000,0.000056
1916,0.000000,0.000069
1917,0.000000,0.000062
1918,0.000000,0.000061
1919,0.000000,0.000084
1920,0.000000,0.000089
1921,0.000000,0.000093
1922,0.000000,0.000101
1923,0.000000,0.000111
1924,0.000000,0.000119
1925,0.000000,0.000127
1926,0.000000,0.000117
1927,0.000000,0.000122
1928,0.000000,0.000130
1929,0.000000,0.000136
1930,0.000003,0.000133
1931,0.000000,0.000125
1932,0.000000,0.000108
1933,0.000000,0.000097
1934,0.000000,0.000087
1935,0.000000,0.000080
1936,0.000000,0.000091
1937,0.000000,0.000067
1938,0.000000,0.000083
1939,0.000000,0.000086
1940,0.000000,0.000090
1941,0.000000,0.000087
1942,0.000000,0.000086
1943,0.000000,0.000073
1944,0.000000,0.000090
1945,0.000000,0.000097
1946,0.000000,0.000087
1947,0.000000,0.000076
1948,0.000000,0.000083
1949,0.000000,0.000093
1950,0.000000,0.000095
1951,0.000000,0.000090
1952,0.000000,0.000086
1953,0.000000,0.000086
1954,0.000000,0.000077
1955,0.000000,0.000080
1956,0.000000,0.000076
1957,0.000000,0.000078
1958,0.000000,0.000076
1959,0.000000,0.000079
1960,0.000000,0.000081
1961,0.000000,0.000083
1962,0.000001,0.000071
1963,0.000000,0.000081
1964,0.000000,0.000078
1965,0.000000,0.000088
1966,0.000000,0.000085
1967,0.000000,0.000093
1968,0.000000,0.000099
1969,0.000000,0.000106
1970,0.000000,0.000112
1971,0.000000,0.000128
1972,0.000002,0.000143
1973,0.000000,0.000141
1974,0.000002,0.000170
1975,0.000002,0.000186
1976,0.000002,0.000184
1977,0.000003,0.000189
1978,0.000002,0.000180
1979,0.000002,0.000189
1980,0.000002,0.000189
1981,0.000002,0.000195
1982,0.000000,0.000199
1983,0.000003,0.000179
1984,0.000002,0.000181
1985,0.000002,0.000173
1986,0.000002,0.000181
1987,0.000004,0.000182
1988,0.000002,0.000180
1989,0.000002,0.000209
1990,0.000003,0.000219
1991,0.000002,0.000228
1992,0.000002,0.000240
1993,0.000002,0.000240
1994,0.000003,0.000241
1995,0.000002,0.000235
1996,0.000000,0.000239
1997,0.000000,0.000225
1998,0.000000,0.000221
1999,0.000000,0.000208
2000,0.000001,0.000226
2001,0.000000,0.000226
2002,0.000000,0.000214
2003,0.000000,0.000224
2004,0.000000,0.000217
2005,0.000000,0.000224
2006,0.000000,0.000194
2007,0.000000,0.000180
2008,0.000000,0.000168
2009,0.000000,0.000179
2010,0.000000,0.000157
2011,0.000000,0.000131
2012,0.000000,0.000130
