year,Shanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,6
1932,6
1933,5
1934,6
1935,9
1936,9
1937,7
1938,14
1939,13
1940,13
1941,14
1942,22
1943,22
1944,21
1945,18
1946,25
1947,32
1948,31
1949,32
1950,33
1951,26
1952,23
1953,41
1954,58
1955,52
1956,54
1957,69
1958,77
1959,100
1960,103
1961,125
1962,126
1963,163
1964,207
1965,193
1966,246
1967,304
1968,345
1969,607
1970,759
1971,604
1972,618
1973,648
1974,673
1975,601
1976,690
1977,1613
1978,1854
1979,1806
1980,1526
1981,1260
1982,1222
1983,1044
1984,1228
1985,1061
1986,854
1987,744
1988,671
1989,553
1990,589
1991,589
1992,466
1993,403
1994,350
1995,281
1996,288
1997,238
1998,195
1999,187
2000,152
2001,166
2002,132
2003,121
2004,134
2005,129
2006,138
2007,114
2008,66
2009,58
2010,43
2011,32
2012,22
