year,Sullivan (F),Sullivan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000029
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000027
1889,0.000000,0.000035
1890,0.000000,0.000033
1891,0.000000,0.000028
1892,0.000000,0.000033
1893,0.000000,0.000015
1894,0.000000,0.000021
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000027
1900,0.000000,0.000022
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000014
1912,0.000000,0.000011
1913,0.000000,0.000008
1914,0.000000,0.000008
1915,0.000000,0.000005
1916,0.000000,0.000007
1917,0.000000,0.000009
1918,0.000000,0.000008
1919,0.000000,0.000008
1920,0.000000,0.000007
1921,0.000000,0.000006
1922,0.000000,0.000007
1923,0.000000,0.000007
1924,0.000000,0.000006
1925,0.000000,0.000008
1926,0.000000,0.000005
1927,0.000000,0.000007
1928,0.000000,0.000003
1929,0.000000,0.000005
1930,0.000000,0.000004
1931,0.000000,0.000006
1932,0.000000,0.000007
1933,0.000000,0.000005
1934,0.000000,0.000006
1935,0.000000,0.000004
1936,0.000000,0.000008
1937,0.000000,0.000004
1938,0.000000,0.000003
1939,0.000000,0.000005
1940,0.000000,0.000003
1941,0.000000,0.000004
1942,0.000000,0.000000
1943,0.000000,0.000003
1944,0.000000,0.000004
1945,0.000000,0.000006
1946,0.000000,0.000006
1947,0.000000,0.000003
1948,0.000000,0.000004
1949,0.000000,0.000005
1950,0.000000,0.000003
1951,0.000000,0.000004
1952,0.000000,0.000005
1953,0.000000,0.000003
1954,0.000000,0.000004
1955,0.000000,0.000004
1956,0.000000,0.000002
1957,0.000000,0.000004
1958,0.000000,0.000002
1959,0.000000,0.000002
1960,0.000000,0.000002
1961,0.000000,0.000001
1962,0.000000,0.000001
1963,0.000000,0.000002
1964,0.000000,0.000002
1965,0.000000,0.000004
1966,0.000000,0.000002
1967,0.000000,0.000002
1968,0.000000,0.000003
1969,0.000000,0.000002
1970,0.000000,0.000003
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000002
1974,0.000000,0.000003
1975,0.000000,0.000003
1976,0.000000,0.000003
1977,0.000000,0.000003
1978,0.000000,0.000002
1979,0.000000,0.000002
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000002
1983,0.000000,0.000003
1984,0.000000,0.000002
1985,0.000000,0.000001
1986,0.000000,0.000003
1987,0.000000,0.000000
1988,0.000000,0.000003
1989,0.000000,0.000004
1990,0.000000,0.000007
1991,0.000000,0.000008
1992,0.000000,0.000009
1993,0.000003,0.000014
1994,0.000002,0.000009
1995,0.000004,0.000016
1996,0.000003,0.000018
1997,0.000003,0.000019
1998,0.000003,0.000023
1999,0.000005,0.000022
2000,0.000005,0.000022
2001,0.000003,0.000033
2002,0.000008,0.000043
2003,0.000005,0.000045
2004,0.000005,0.000046
2005,0.000006,0.000049
2006,0.000007,0.000051
2007,0.000009,0.000079
2008,0.000006,0.000085
2009,0.000010,0.000100
2010,0.000008,0.000100
2011,0.000008,0.000133
2012,0.000013,0.000150
2013,0.000015,0.000148
2014,0.000013,0.000171
2015,0.000019,0.000180
2016,0.000022,0.000214
2017,0.000026,0.000223
2018,0.000024,0.000234
2019,0.000021,0.000225
2020,0.000023,0.000231
