year,Synthia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,7
1942,7
1943,12
1944,7
1945,9
1946,15
1947,19
1948,25
1949,19
1950,18
1951,20
1952,30
1953,25
1954,37
1955,41
1956,36
1957,46
1958,50
1959,40
1960,56
1961,46
1962,50
1963,45
1964,52
1965,67
1966,58
1967,47
1968,45
1969,45
1970,46
1971,40
1972,33
1973,37
1974,29
1975,22
1976,13
1977,30
1978,18
1979,28
1980,30
1981,25
1982,26
1983,30
1984,22
1985,26
1986,24
1987,27
1988,36
1989,38
1990,50
1991,29
1992,50
1993,44
1994,39
1995,40
1996,56
1997,40
1998,41
1999,34
2000,30
2001,28
2002,31
2003,23
2004,17
2005,35
2006,19
2007,19
2008,22
2009,23
2010,22
2011,17
2012,18
