year,Shireen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,5
1943,5
1944,0
1945,0
1946,5
1947,22
1948,9
1949,6
1950,13
1951,39
1952,16
1953,26
1954,14
1955,13
1956,12
1957,9
1958,10
1959,8
1960,6
1961,5
1962,9
1963,17
1964,18
1965,23
1966,16
1967,27
1968,21
1969,18
1970,25
1971,13
1972,20
1973,20
1974,19
1975,20
1976,23
1977,25
1978,22
1979,20
1980,18
1981,25
1982,18
1983,22
1984,29
1985,27
1986,25
1987,33
1988,28
1989,36
1990,32
1991,40
1992,27
1993,24
1994,22
1995,28
1996,21
1997,18
1998,18
1999,18
2000,14
2001,20
2002,18
2003,6
2004,15
2005,7
2006,0
2007,14
2008,13
2009,10
2010,10
2011,14
2012,8
