year,Skipper
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,6
1938,6
1939,8
1940,6
1941,0
1942,12
1943,16
1944,11
1945,11
1946,10
1947,17
1948,17
1949,21
1950,22
1951,20
1952,20
1953,19
1954,17
1955,15
1956,20
1957,18
1958,26
1959,26
1960,27
1961,24
1962,33
1963,22
1964,23
1965,23
1966,20
1967,26
1968,14
1969,23
1970,20
1971,19
1972,14
1973,23
1974,18
1975,16
1976,18
1977,20
1978,15
1979,9
1980,9
1981,17
1982,11
1983,7
1984,5
1985,6
1986,0
1987,5
1988,0
1989,8
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
