year,Sharri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,6
1939,0
1940,0
1941,7
1942,6
1943,6
1944,8
1945,12
1946,6
1947,8
1948,10
1949,15
1950,22
1951,16
1952,14
1953,20
1954,11
1955,16
1956,24
1957,28
1958,37
1959,40
1960,52
1961,78
1962,88
1963,69
1964,75
1965,58
1966,47
1967,52
1968,53
1969,41
1970,42
1971,46
1972,30
1973,25
1974,11
1975,17
1976,18
1977,21
1978,14
1979,6
1980,14
1981,11
1982,10
1983,12
1984,14
1985,12
1986,7
1987,11
1988,9
1989,9
1990,8
1991,6
1992,11
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
