year,Siri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,0
1944,6
1945,0
1946,5
1947,7
1948,0
1949,12
1950,8
1951,14
1952,29
1953,28
1954,24
1955,23
1956,17
1957,9
1958,15
1959,13
1960,17
1961,13
1962,19
1963,24
1964,13
1965,8
1966,8
1967,13
1968,24
1969,20
1970,16
1971,15
1972,16
1973,22
1974,25
1975,16
1976,26
1977,29
1978,28
1979,19
1980,18
1981,26
1982,21
1983,23
1984,16
1985,29
1986,28
1987,24
1988,20
1989,21
1990,23
1991,23
1992,22
1993,20
1994,17
1995,23
1996,31
1997,31
1998,28
1999,33
2000,35
2001,29
2002,36
2003,44
2004,55
2005,72
2006,104
2007,108
2008,115
2009,120
2010,111
2011,103
2012,108
