year,Sherree
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,6
1943,6
1944,0
1945,0
1946,0
1947,8
1948,14
1949,8
1950,12
1951,7
1952,10
1953,16
1954,95
1955,138
1956,142
1957,150
1958,87
1959,77
1960,56
1961,51
1962,47
1963,39
1964,37
1965,27
1966,27
1967,16
1968,19
1969,23
1970,21
1971,17
1972,37
1973,27
1974,14
1975,27
1976,24
1977,18
1978,27
1979,30
1980,11
1981,19
1982,25
1983,19
1984,21
1985,16
1986,17
1987,11
1988,20
1989,11
1990,6
1991,7
1992,9
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
