year,Sonny (F),Sonny (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000015
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000017
1896,0.000000,0.000017
1897,0.000000,0.000014
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000029
1901,0.000000,0.000014
1902,0.000000,0.000016
1903,0.000000,0.000016
1904,0.000000,0.000032
1905,0.000000,0.000019
1906,0.000000,0.000016
1907,0.000000,0.000021
1908,0.000000,0.000016
1909,0.000000,0.000022
1910,0.000000,0.000015
1911,0.000000,0.000022
1912,0.000000,0.000018
1913,0.000000,0.000007
1914,0.000000,0.000013
1915,0.000000,0.000009
1916,0.000000,0.000015
1917,0.000000,0.000011
1918,0.000000,0.000009
1919,0.000000,0.000013
1920,0.000000,0.000012
1921,0.000000,0.000012
1922,0.000000,0.000013
1923,0.000000,0.000012
1924,0.000000,0.000012
1925,0.000000,0.000015
1926,0.000000,0.000010
1927,0.000000,0.000022
1928,0.000000,0.000026
1929,0.000000,0.000035
1930,0.000000,0.000041
1931,0.000000,0.000032
1932,0.000000,0.000040
1933,0.000000,0.000053
1934,0.000000,0.000064
1935,0.000000,0.000070
1936,0.000000,0.000057
1937,0.000000,0.000058
1938,0.000000,0.000052
1939,0.000000,0.000044
1940,0.000000,0.000048
1941,0.000000,0.000040
1942,0.000002,0.000043
1943,0.000000,0.000045
1944,0.000000,0.000051
1945,0.000000,0.000037
1946,0.000000,0.000040
1947,0.000000,0.000039
1948,0.000000,0.000036
1949,0.000000,0.000034
1950,0.000000,0.000034
1951,0.000000,0.000030
1952,0.000001,0.000032
1953,0.000000,0.000033
1954,0.000002,0.000032
1955,0.000001,0.000031
1956,0.000000,0.000034
1957,0.000002,0.000035
1958,0.000000,0.000040
1959,0.000000,0.000028
1960,0.000001,0.000035
1961,0.000000,0.000033
1962,0.000001,0.000031
1963,0.000000,0.000033
1964,0.000000,0.000034
1965,0.000000,0.000034
1966,0.000000,0.000035
1967,0.000000,0.000045
1968,0.000002,0.000050
1969,0.000000,0.000051
1970,0.000000,0.000053
1971,0.000003,0.000060
1972,0.000002,0.000084
1973,0.000003,0.000091
1974,0.000000,0.000092
1975,0.000003,0.000111
1976,0.000004,0.000090
1977,0.000002,0.000066
1978,0.000002,0.000082
1979,0.000003,0.000066
1980,0.000004,0.000064
1981,0.000006,0.000068
1982,0.000002,0.000060
1983,0.000003,0.000048
1984,0.000002,0.000056
1985,0.000003,0.000056
1986,0.000002,0.000076
1987,0.000004,0.000063
1988,0.000006,0.000074
1989,0.000003,0.000075
1990,0.000003,0.000061
1991,0.000003,0.000061
1992,0.000003,0.000049
1993,0.000004,0.000050
1994,0.000003,0.000042
1995,0.000002,0.000051
1996,0.000003,0.000042
1997,0.000005,0.000043
1998,0.000004,0.000045
1999,0.000003,0.000045
2000,0.000003,0.000048
2001,0.000002,0.000052
2002,0.000003,0.000056
2003,0.000003,0.000061
2004,0.000003,0.000056
2005,0.000002,0.000063
2006,0.000003,0.000057
2007,0.000002,0.000060
2008,0.000003,0.000063
2009,0.000003,0.000065
2010,0.000005,0.000057
2011,0.000006,0.000063
2012,0.000005,0.000061
2013,0.000004,0.000069
2014,0.000004,0.000066
2015,0.000007,0.000074
2016,0.000005,0.000073
2017,0.000008,0.000084
2018,0.000009,0.000109
2019,0.000011,0.000121
2020,0.000015,0.000157
