year,Sanford (F),Sanford (M)
1880,0.000000,0.000149
1881,0.000000,0.000145
1882,0.000000,0.000149
1883,0.000000,0.000101
1884,0.000000,0.000131
1885,0.000000,0.000091
1886,0.000000,0.000063
1887,0.000000,0.000089
1888,0.000000,0.000073
1889,0.000000,0.000087
1890,0.000000,0.000043
1891,0.000000,0.000094
1892,0.000000,0.000078
1893,0.000000,0.000061
1894,0.000000,0.000080
1895,0.000000,0.000066
1896,0.000000,0.000070
1897,0.000000,0.000072
1898,0.000000,0.000073
1899,0.000000,0.000077
1900,0.000000,0.000047
1901,0.000000,0.000075
1902,0.000000,0.000072
1903,0.000000,0.000058
1904,0.000000,0.000079
1905,0.000000,0.000073
1906,0.000000,0.000077
1907,0.000000,0.000062
1908,0.000000,0.000074
1909,0.000000,0.000070
1910,0.000000,0.000081
1911,0.000000,0.000076
1912,0.000000,0.000093
1913,0.000000,0.000094
1914,0.000000,0.000093
1915,0.000000,0.000123
1916,0.000000,0.000111
1917,0.000000,0.000092
1918,0.000000,0.000102
1919,0.000000,0.000117
1920,0.000000,0.000095
1921,0.000000,0.000107
1922,0.000000,0.000119
1923,0.000000,0.000111
1924,0.000000,0.000111
1925,0.000000,0.000117
1926,0.000000,0.000118
1927,0.000000,0.000121
1928,0.000000,0.000130
1929,0.000000,0.000144
1930,0.000000,0.000124
1931,0.000000,0.000136
1932,0.000000,0.000123
1933,0.000000,0.000116
1934,0.000000,0.000129
1935,0.000000,0.000107
1936,0.000000,0.000109
1937,0.000000,0.000107
1938,0.000000,0.000116
1939,0.000000,0.000100
1940,0.000000,0.000104
1941,0.000000,0.000104
1942,0.000000,0.000100
1943,0.000000,0.000101
1944,0.000000,0.000084
1945,0.000000,0.000070
1946,0.000000,0.000093
1947,0.000000,0.000081
1948,0.000000,0.000080
1949,0.000000,0.000074
1950,0.000000,0.000071
1951,0.000000,0.000061
1952,0.000000,0.000063
1953,0.000000,0.000059
1954,0.000000,0.000056
1955,0.000000,0.000055
1956,0.000000,0.000049
1957,0.000000,0.000039
1958,0.000000,0.000048
1959,0.000000,0.000038
1960,0.000000,0.000041
1961,0.000000,0.000043
1962,0.000000,0.000039
1963,0.000000,0.000035
1964,0.000000,0.000036
1965,0.000000,0.000028
1966,0.000000,0.000037
1967,0.000000,0.000039
1968,0.000000,0.000037
1969,0.000000,0.000031
1970,0.000000,0.000027
1971,0.000000,0.000033
1972,0.000000,0.000024
1973,0.000000,0.000027
1974,0.000000,0.000018
1975,0.000000,0.000015
1976,0.000000,0.000015
1977,0.000000,0.000014
1978,0.000000,0.000013
1979,0.000000,0.000009
1980,0.000000,0.000012
1981,0.000000,0.000009
1982,0.000000,0.000014
1983,0.000000,0.000013
1984,0.000000,0.000007
1985,0.000000,0.000008
1986,0.000000,0.000009
1987,0.000000,0.000007
1988,0.000000,0.000008
1989,0.000000,0.000008
1990,0.000000,0.000008
1991,0.000000,0.000007
1992,0.000000,0.000006
1993,0.000000,0.000005
1994,0.000000,0.000005
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000005
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000005
2001,0.000000,0.000003
2002,0.000000,0.000004
2003,0.000000,0.000003
2004,0.000000,0.000004
2005,0.000000,0.000004
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000004
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000004
2013,0.000000,0.000002
2014,0.000000,0.000003
2015,0.000000,0.000004
2016,0.000000,0.000004
2017,0.000000,0.000003
2018,0.000000,0.000004
2019,0.000000,0.000005
2020,0.000000,0.000005
