year,Shelbie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,19
1937,37
1938,31
1939,24
1940,18
1941,9
1942,9
1943,8
1944,6
1945,11
1946,6
1947,8
1948,9
1949,8
1950,12
1951,0
1952,0
1953,0
1954,6
1955,10
1956,7
1957,0
1958,0
1959,11
1960,5
1961,16
1962,10
1963,7
1964,8
1965,9
1966,5
1967,11
1968,13
1969,16
1970,13
1971,21
1972,18
1973,15
1974,29
1975,27
1976,16
1977,27
1978,16
1979,19
1980,21
1981,13
1982,17
1983,13
1984,30
1985,32
1986,25
1987,27
1988,43
1989,55
1990,149
1991,403
1992,450
1993,344
1994,268
1995,280
1996,335
1997,293
1998,277
1999,210
2000,210
2001,175
2002,172
2003,122
2004,118
2005,104
2006,103
2007,96
2008,94
2009,74
2010,78
2011,52
2012,57
