year,Sherilyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,6
1934,0
1935,0
1936,6
1937,11
1938,17
1939,15
1940,17
1941,13
1942,29
1943,46
1944,69
1945,50
1946,120
1947,120
1948,80
1949,93
1950,105
1951,92
1952,78
1953,76
1954,99
1955,90
1956,74
1957,101
1958,100
1959,102
1960,100
1961,90
1962,93
1963,84
1964,96
1965,71
1966,85
1967,89
1968,73
1969,80
1970,67
1971,60
1972,76
1973,47
1974,53
1975,44
1976,41
1977,46
1978,38
1979,38
1980,39
1981,50
1982,30
1983,41
1984,47
1985,63
1986,46
1987,24
1988,38
1989,46
1990,23
1991,43
1992,38
1993,30
1994,33
1995,39
1996,24
1997,13
1998,13
1999,13
2000,15
2001,11
2002,13
2003,16
2004,16
2005,9
2006,24
2007,12
2008,17
2009,10
2010,13
2011,8
2012,8
