year,Sibyl
1880,5
1881,9
1882,6
1883,0
1884,0
1885,0
1886,13
1887,6
1888,11
1889,8
1890,8
1891,7
1892,17
1893,10
1894,16
1895,22
1896,25
1897,22
1898,24
1899,23
1900,35
1901,20
1902,34
1903,21
1904,29
1905,25
1906,30
1907,31
1908,23
1909,22
1910,32
1911,30
1912,48
1913,58
1914,62
1915,110
1916,103
1917,118
1918,299
1919,299
1920,189
1921,151
1922,114
1923,111
1924,100
1925,87
1926,57
1927,63
1928,65
1929,63
1930,43
1931,42
1932,42
1933,32
1934,38
1935,40
1936,42
1937,40
1938,40
1939,35
1940,48
1941,43
1942,38
1943,30
1944,29
1945,28
1946,26
1947,27
1948,36
1949,27
1950,37
1951,25
1952,35
1953,46
1954,31
1955,30
1956,36
1957,43
1958,37
1959,30
1960,22
1961,31
1962,34
1963,28
1964,29
1965,33
1966,37
1967,21
1968,17
1969,16
1970,19
1971,11
1972,12
1973,22
1974,20
1975,19
1976,17
1977,14
1978,11
1979,12
1980,16
1981,9
1982,13
1983,7
1984,8
1985,6
1986,7
1987,0
1988,8
1989,6
1990,0
1991,0
1992,8
1993,0
1994,5
1995,0
1996,5
1997,6
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
