year,Sammie (F),Sammie (M)
1880,0.000030,0.000030
1881,0.000031,0.000000
1882,0.000023,0.000032
1883,0.000000,0.000000
1884,0.000025,0.000021
1885,0.000025,0.000021
1886,0.000024,0.000000
1887,0.000024,0.000020
1888,0.000037,0.000027
1889,0.000055,0.000048
1890,0.000040,0.000030
1891,0.000028,0.000038
1892,0.000024,0.000036
1893,0.000034,0.000028
1894,0.000030,0.000021
1895,0.000026,0.000046
1896,0.000045,0.000034
1897,0.000035,0.000035
1898,0.000045,0.000037
1899,0.000065,0.000056
1900,0.000049,0.000071
1901,0.000058,0.000055
1902,0.000044,0.000054
1903,0.000047,0.000031
1904,0.000069,0.000084
1905,0.000050,0.000075
1906,0.000037,0.000075
1907,0.000034,0.000084
1908,0.000078,0.000061
1909,0.000053,0.000078
1910,0.000051,0.000081
1911,0.000047,0.000098
1912,0.000039,0.000066
1913,0.000041,0.000076
1914,0.000040,0.000094
1915,0.000033,0.000087
1916,0.000029,0.000080
1917,0.000050,0.000085
1918,0.000052,0.000122
1919,0.000054,0.000109
1920,0.000050,0.000118
1921,0.000035,0.000116
1922,0.000053,0.000110
1923,0.000053,0.000109
1924,0.000051,0.000115
1925,0.000052,0.000122
1926,0.000057,0.000122
1927,0.000052,0.000143
1928,0.000062,0.000146
1929,0.000046,0.000140
1930,0.000059,0.000156
1931,0.000056,0.000166
1932,0.000064,0.000164
1933,0.000067,0.000150
1934,0.000065,0.000163
1935,0.000060,0.000159
1936,0.000069,0.000153
1937,0.000066,0.000142
1938,0.000060,0.000157
1939,0.000057,0.000158
1940,0.000058,0.000149
1941,0.000062,0.000146
1942,0.000066,0.000154
1943,0.000066,0.000143
1944,0.000058,0.000161
1945,0.000047,0.000156
1946,0.000047,0.000128
1947,0.000040,0.000137
1948,0.000033,0.000139
1949,0.000033,0.000123
1950,0.000028,0.000113
1951,0.000027,0.000108
1952,0.000025,0.000093
1953,0.000021,0.000094
1954,0.000020,0.000090
1955,0.000015,0.000086
1956,0.000019,0.000079
1957,0.000019,0.000071
1958,0.000016,0.000074
1959,0.000014,0.000068
1960,0.000015,0.000070
1961,0.000014,0.000065
1962,0.000014,0.000060
1963,0.000011,0.000062
1964,0.000013,0.000053
1965,0.000012,0.000055
1966,0.000013,0.000056
1967,0.000010,0.000050
1968,0.000008,0.000043
1969,0.000007,0.000045
1970,0.000010,0.000043
1971,0.000010,0.000045
1972,0.000013,0.000048
1973,0.000010,0.000039
1974,0.000010,0.000042
1975,0.000010,0.000033
1976,0.000013,0.000027
1977,0.000011,0.000027
1978,0.000008,0.000029
1979,0.000004,0.000030
1980,0.000005,0.000026
1981,0.000005,0.000029
1982,0.000011,0.000021
1983,0.000011,0.000023
1984,0.000007,0.000019
1985,0.000009,0.000017
1986,0.000012,0.000020
1987,0.000009,0.000014
1988,0.000011,0.000015
1989,0.000006,0.000018
1990,0.000007,0.000013
1991,0.000007,0.000019
1992,0.000004,0.000016
1993,0.000006,0.000015
1994,0.000005,0.000014
1995,0.000003,0.000009
1996,0.000004,0.000014
1997,0.000005,0.000011
1998,0.000006,0.000010
1999,0.000005,0.000013
2000,0.000006,0.000009
2001,0.000006,0.000006
2002,0.000004,0.000007
2003,0.000004,0.000008
2004,0.000007,0.000007
2005,0.000007,0.000007
2006,0.000006,0.000008
2007,0.000008,0.000008
2008,0.000008,0.000010
2009,0.000007,0.000010
2010,0.000007,0.000011
2011,0.000010,0.000007
2012,0.000011,0.000010
2013,0.000006,0.000010
2014,0.000008,0.000006
2015,0.000009,0.000007
2016,0.000008,0.000007
2017,0.000008,0.000007
2018,0.000012,0.000004
2019,0.000010,0.000006
2020,0.000011,0.000006
