year,Sabino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,0
1913,11
1914,12
1915,11
1916,13
1917,8
1918,13
1919,14
1920,14
1921,17
1922,23
1923,12
1924,14
1925,20
1926,20
1927,16
1928,23
1929,20
1930,14
1931,15
1932,13
1933,23
1934,16
1935,22
1936,13
1937,11
1938,23
1939,8
1940,16
1941,6
1942,15
1943,15
1944,19
1945,17
1946,16
1947,11
1948,17
1949,17
1950,18
1951,12
1952,11
1953,26
1954,18
1955,16
1956,14
1957,9
1958,9
1959,16
1960,20
1961,14
1962,11
1963,9
1964,10
1965,19
1966,8
1967,5
1968,11
1969,12
1970,17
1971,25
1972,21
1973,16
1974,20
1975,15
1976,22
1977,13
1978,22
1979,19
1980,15
1981,10
1982,27
1983,19
1984,21
1985,14
1986,22
1987,25
1988,19
1989,17
1990,26
1991,24
1992,29
1993,23
1994,26
1995,29
1996,24
1997,20
1998,18
1999,23
2000,19
2001,30
2002,23
2003,17
2004,23
2005,16
2006,30
2007,22
2008,13
2009,18
2010,16
2011,16
2012,12
