year,Sheldon (F),Sheldon (M)
1880,0.000000,0.000000
1881,0.000000,0.000036
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000029
1885,0.000000,0.000021
1886,0.000000,0.000020
1887,0.000000,0.000024
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000027
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000000
1896,0.000000,0.000022
1897,0.000000,0.000020
1898,0.000000,0.000016
1899,0.000000,0.000015
1900,0.000000,0.000029
1901,0.000000,0.000032
1902,0.000000,0.000026
1903,0.000000,0.000026
1904,0.000000,0.000030
1905,0.000000,0.000012
1906,0.000000,0.000040
1907,0.000000,0.000032
1908,0.000000,0.000033
1909,0.000000,0.000033
1910,0.000000,0.000025
1911,0.000000,0.000039
1912,0.000000,0.000074
1913,0.000000,0.000052
1914,0.000000,0.000064
1915,0.000000,0.000068
1916,0.000000,0.000069
1917,0.000000,0.000073
1918,0.000000,0.000078
1919,0.000000,0.000094
1920,0.000000,0.000088
1921,0.000000,0.000096
1922,0.000000,0.000102
1923,0.000000,0.000106
1924,0.000000,0.000131
1925,0.000000,0.000138
1926,0.000000,0.000153
1927,0.000000,0.000159
1928,0.000000,0.000186
1929,0.000000,0.000184
1930,0.000000,0.000183
1931,0.000002,0.000193
1932,0.000000,0.000200
1933,0.000000,0.000215
1934,0.000000,0.000223
1935,0.000000,0.000223
1936,0.000004,0.000218
1937,0.000000,0.000205
1938,0.000000,0.000198
1939,0.000000,0.000169
1940,0.000000,0.000167
1941,0.000003,0.000170
1942,0.000000,0.000159
1943,0.000002,0.000162
1944,0.000000,0.000142
1945,0.000000,0.000139
1946,0.000000,0.000124
1947,0.000000,0.000119
1948,0.000001,0.000116
1949,0.000000,0.000108
1950,0.000002,0.000115
1951,0.000002,0.000087
1952,0.000000,0.000097
1953,0.000001,0.000084
1954,0.000002,0.000103
1955,0.000001,0.000088
1956,0.000000,0.000100
1957,0.000002,0.000101
1958,0.000000,0.000100
1959,0.000000,0.000091
1960,0.000000,0.000094
1961,0.000001,0.000099
1962,0.000002,0.000108
1963,0.000004,0.000101
1964,0.000002,0.000105
1965,0.000004,0.000109
1966,0.000003,0.000113
1967,0.000002,0.000115
1968,0.000001,0.000119
1969,0.000003,0.000117
1970,0.000002,0.000116
1971,0.000002,0.000111
1972,0.000002,0.000103
1973,0.000003,0.000112
1974,0.000003,0.000119
1975,0.000003,0.000122
1976,0.000002,0.000129
1977,0.000002,0.000107
1978,0.000003,0.000100
1979,0.000002,0.000097
1980,0.000000,0.000093
1981,0.000002,0.000094
1982,0.000002,0.000078
1983,0.000001,0.000085
1984,0.000001,0.000087
1985,0.000004,0.000091
1986,0.000005,0.000100
1987,0.000002,0.000102
1988,0.000004,0.000105
1989,0.000003,0.000102
1990,0.000004,0.000127
1991,0.000004,0.000140
1992,0.000004,0.000158
1993,0.000003,0.000130
1994,0.000006,0.000140
1995,0.000005,0.000135
1996,0.000005,0.000126
1997,0.000004,0.000125
1998,0.000004,0.000109
1999,0.000002,0.000098
2000,0.000002,0.000080
2001,0.000003,0.000088
2002,0.000002,0.000071
2003,0.000000,0.000061
2004,0.000000,0.000063
2005,0.000000,0.000066
2006,0.000000,0.000061
2007,0.000000,0.000052
2008,0.000000,0.000054
2009,0.000000,0.000049
2010,0.000000,0.000054
2011,0.000000,0.000048
2012,0.000000,0.000059
