year,Stephani
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,6
1942,8
1943,7
1944,0
1945,8
1946,7
1947,7
1948,12
1949,8
1950,6
1951,10
1952,20
1953,16
1954,20
1955,24
1956,20
1957,17
1958,24
1959,23
1960,30
1961,35
1962,29
1963,44
1964,62
1965,59
1966,70
1967,87
1968,87
1969,105
1970,107
1971,94
1972,95
1973,84
1974,82
1975,74
1976,81
1977,86
1978,95
1979,88
1980,99
1981,99
1982,130
1983,131
1984,130
1985,138
1986,145
1987,159
1988,151
1989,636
1990,173
1991,164
1992,152
1993,136
1994,104
1995,93
1996,86
1997,65
1998,66
1999,51
2000,51
2001,60
2002,53
2003,57
2004,46
2005,42
2006,45
2007,51
2008,35
2009,37
2010,28
2011,16
2012,21
