year,Shawntel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,7
1964,0
1965,0
1966,0
1967,7
1968,13
1969,20
1970,26
1971,31
1972,38
1973,33
1974,31
1975,54
1976,33
1977,49
1978,34
1979,29
1980,33
1981,34
1982,34
1983,22
1984,21
1985,43
1986,39
1987,32
1988,28
1989,28
1990,36
1991,37
1992,34
1993,35
1994,29
1995,63
1996,54
1997,33
1998,31
1999,18
2000,12
2001,7
2002,11
2003,6
2004,5
2005,0
2006,8
2007,0
2008,7
2009,0
2010,0
2011,7
2012,0
