year,Solomon (F),Solomon (M)
1880,0.000000,0.000308
1881,0.000000,0.000254
1882,0.000000,0.000230
1883,0.000000,0.000207
1884,0.000000,0.000246
1885,0.000000,0.000241
1886,0.000000,0.000176
1887,0.000000,0.000133
1888,0.000000,0.000144
1889,0.000000,0.000138
1890,0.000000,0.000143
1891,0.000000,0.000129
1892,0.000000,0.000129
1893,0.000000,0.000135
1894,0.000000,0.000094
1895,0.000000,0.000145
1896,0.000000,0.000123
1897,0.000000,0.000127
1898,0.000000,0.000105
1899,0.000000,0.000109
1900,0.000000,0.000160
1901,0.000000,0.000107
1902,0.000000,0.000171
1903,0.000000,0.000115
1904,0.000000,0.000124
1905,0.000000,0.000111
1906,0.000000,0.000112
1907,0.000000,0.000140
1908,0.000000,0.000125
1909,0.000000,0.000155
1910,0.000000,0.000137
1911,0.000000,0.000200
1912,0.000000,0.000236
1913,0.000000,0.000189
1914,0.000000,0.000210
1915,0.000000,0.000171
1916,0.000000,0.000164
1917,0.000000,0.000187
1918,0.000000,0.000169
1919,0.000000,0.000167
1920,0.000000,0.000157
1921,0.000000,0.000152
1922,0.000000,0.000146
1923,0.000000,0.000136
1924,0.000000,0.000114
1925,0.000000,0.000124
1926,0.000000,0.000093
1927,0.000000,0.000090
1928,0.000000,0.000096
1929,0.000000,0.000093
1930,0.000000,0.000087
1931,0.000000,0.000074
1932,0.000000,0.000078
1933,0.000000,0.000073
1934,0.000000,0.000072
1935,0.000000,0.000063
1936,0.000000,0.000073
1937,0.000000,0.000065
1938,0.000000,0.000065
1939,0.000000,0.000053
1940,0.000000,0.000065
1941,0.000000,0.000048
1942,0.000000,0.000054
1943,0.000000,0.000055
1944,0.000000,0.000047
1945,0.000000,0.000044
1946,0.000000,0.000043
1947,0.000000,0.000047
1948,0.000000,0.000054
1949,0.000000,0.000056
1950,0.000000,0.000040
1951,0.000000,0.000048
1952,0.000000,0.000041
1953,0.000000,0.000037
1954,0.000000,0.000042
1955,0.000000,0.000043
1956,0.000000,0.000040
1957,0.000000,0.000039
1958,0.000000,0.000032
1959,0.000000,0.000041
1960,0.000000,0.000031
1961,0.000000,0.000035
1962,0.000000,0.000029
1963,0.000000,0.000031
1964,0.000000,0.000034
1965,0.000000,0.000039
1966,0.000000,0.000033
1967,0.000000,0.000034
1968,0.000000,0.000037
1969,0.000000,0.000041
1970,0.000000,0.000039
1971,0.000000,0.000052
1972,0.000000,0.000046
1973,0.000000,0.000052
1974,0.000000,0.000057
1975,0.000000,0.000057
1976,0.000002,0.000064
1977,0.000000,0.000070
1978,0.000000,0.000068
1979,0.000000,0.000072
1980,0.000000,0.000062
1981,0.000000,0.000058
1982,0.000000,0.000084
1983,0.000000,0.000064
1984,0.000000,0.000075
1985,0.000000,0.000068
1986,0.000000,0.000062
1987,0.000000,0.000063
1988,0.000001,0.000069
1989,0.000000,0.000069
1990,0.000000,0.000055
1991,0.000000,0.000067
1992,0.000000,0.000067
1993,0.000000,0.000077
1994,0.000000,0.000081
1995,0.000000,0.000088
1996,0.000000,0.000099
1997,0.000000,0.000114
1998,0.000000,0.000117
1999,0.000000,0.000141
2000,0.000000,0.000137
2001,0.000000,0.000149
2002,0.000000,0.000141
2003,0.000000,0.000130
2004,0.000000,0.000139
2005,0.000000,0.000139
2006,0.000000,0.000142
2007,0.000000,0.000154
2008,0.000000,0.000176
2009,0.000000,0.000157
2010,0.000000,0.000153
2011,0.000000,0.000166
2012,0.000000,0.000174
2013,0.000000,0.000193
2014,0.000000,0.000225
2015,0.000000,0.000236
2016,0.000000,0.000246
2017,0.000000,0.000246
2018,0.000000,0.000234
2019,0.000000,0.000216
2020,0.000000,0.000220
