year,Shona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,0
1949,8
1950,6
1951,0
1952,9
1953,0
1954,15
1955,12
1956,11
1957,15
1958,11
1959,26
1960,24
1961,35
1962,31
1963,79
1964,54
1965,57
1966,61
1967,57
1968,76
1969,128
1970,160
1971,122
1972,98
1973,97
1974,85
1975,66
1976,71
1977,87
1978,106
1979,65
1980,90
1981,59
1982,35
1983,39
1984,41
1985,30
1986,21
1987,33
1988,43
1989,18
1990,31
1991,22
1992,18
1993,25
1994,13
1995,13
1996,15
1997,9
1998,14
1999,13
2000,15
2001,12
2002,9
2003,7
2004,10
2005,14
2006,11
2007,7
2008,11
2009,10
2010,0
2011,7
2012,11
