year,Son
1880,0
1881,0
1882,0
1883,0
1884,8
1885,0
1886,0
1887,0
1888,10
1889,8
1890,5
1891,9
1892,0
1893,10
1894,16
1895,11
1896,8
1897,15
1898,9
1899,9
1900,22
1901,16
1902,13
1903,13
1904,12
1905,9
1906,8
1907,5
1908,6
1909,15
1910,15
1911,14
1912,14
1913,12
1914,10
1915,14
1916,18
1917,13
1918,9
1919,19
1920,8
1921,8
1922,10
1923,5
1924,6
1925,6
1926,9
1927,6
1928,6
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,6
1976,13
1977,9
1978,18
1979,19
1980,36
1981,30
1982,41
1983,35
1984,26
1985,33
1986,31
1987,21
1988,22
1989,13
1990,18
1991,25
1992,14
1993,16
1994,22
1995,22
1996,11
1997,6
1998,12
1999,12
2000,7
2001,7
2002,6
2003,10
2004,6
2005,9
2006,7
2007,7
2008,8
2009,6
2010,0
2011,0
2012,0
