year,Saul (F),Saul (M)
1880,0.000000,0.000074
1881,0.000000,0.000000
1882,0.000000,0.000068
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000046
1886,0.000000,0.000039
1887,0.000000,0.000044
1888,0.000000,0.000067
1889,0.000000,0.000000
1890,0.000000,0.000023
1891,0.000000,0.000031
1892,0.000000,0.000033
1893,0.000000,0.000028
1894,0.000000,0.000047
1895,0.000000,0.000037
1896,0.000000,0.000031
1897,0.000000,0.000032
1898,0.000000,0.000029
1899,0.000000,0.000050
1900,0.000000,0.000051
1901,0.000000,0.000038
1902,0.000000,0.000062
1903,0.000000,0.000045
1904,0.000000,0.000064
1905,0.000000,0.000028
1906,0.000000,0.000042
1907,0.000000,0.000077
1908,0.000000,0.000072
1909,0.000000,0.000080
1910,0.000000,0.000071
1911,0.000000,0.000088
1912,0.000000,0.000127
1913,0.000000,0.000130
1914,0.000000,0.000114
1915,0.000000,0.000113
1916,0.000000,0.000115
1917,0.000000,0.000114
1918,0.000000,0.000110
1919,0.000000,0.000110
1920,0.000000,0.000091
1921,0.000000,0.000098
1922,0.000000,0.000089
1923,0.000000,0.000098
1924,0.000000,0.000089
1925,0.000000,0.000088
1926,0.000000,0.000082
1927,0.000000,0.000082
1928,0.000000,0.000079
1929,0.000000,0.000072
1930,0.000000,0.000067
1931,0.000000,0.000066
1932,0.000000,0.000058
1933,0.000000,0.000066
1934,0.000000,0.000063
1935,0.000000,0.000052
1936,0.000000,0.000058
1937,0.000000,0.000053
1938,0.000000,0.000056
1939,0.000000,0.000045
1940,0.000000,0.000038
1941,0.000000,0.000040
1942,0.000000,0.000039
1943,0.000000,0.000034
1944,0.000000,0.000029
1945,0.000000,0.000032
1946,0.000000,0.000031
1947,0.000000,0.000031
1948,0.000000,0.000030
1949,0.000000,0.000030
1950,0.000000,0.000032
1951,0.000000,0.000033
1952,0.000000,0.000027
1953,0.000000,0.000030
1954,0.000000,0.000031
1955,0.000000,0.000030
1956,0.000000,0.000027
1957,0.000000,0.000033
1958,0.000000,0.000036
1959,0.000000,0.000033
1960,0.000000,0.000031
1961,0.000000,0.000041
1962,0.000000,0.000036
1963,0.000000,0.000037
1964,0.000000,0.000032
1965,0.000000,0.000046
1966,0.000000,0.000039
1967,0.000000,0.000047
1968,0.000000,0.000047
1969,0.000000,0.000056
1970,0.000000,0.000061
1971,0.000000,0.000056
1972,0.000000,0.000078
1973,0.000000,0.000083
1974,0.000000,0.000087
1975,0.000000,0.000092
1976,0.000000,0.000097
1977,0.000000,0.000102
1978,0.000000,0.000092
1979,0.000000,0.000105
1980,0.000001,0.000105
1981,0.000000,0.000119
1982,0.000002,0.000103
1983,0.000000,0.000109
1984,0.000002,0.000111
1985,0.000002,0.000114
1986,0.000000,0.000116
1987,0.000000,0.000119
1988,0.000001,0.000118
1989,0.000002,0.000136
1990,0.000002,0.000144
1991,0.000001,0.000152
1992,0.000001,0.000161
1993,0.000000,0.000154
1994,0.000000,0.000161
1995,0.000000,0.000195
1996,0.000000,0.000238
1997,0.000002,0.000288
1998,0.000000,0.000249
1999,0.000000,0.000241
2000,0.000002,0.000280
2001,0.000000,0.000295
2002,0.000000,0.000275
2003,0.000000,0.000282
2004,0.000002,0.000289
2005,0.000000,0.000290
2006,0.000000,0.000284
2007,0.000000,0.000268
2008,0.000000,0.000254
2009,0.000000,0.000227
2010,0.000000,0.000206
2011,0.000000,0.000196
2012,0.000000,0.000189
