year,Serjio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,0
1953,0
1954,0
1955,0
1956,6
1957,8
1958,11
1959,9
1960,5
1961,10
1962,9
1963,5
1964,6
1965,6
1966,9
1967,9
1968,15
1969,16
1970,12
1971,20
1972,17
1973,12
1974,28
1975,18
1976,23
1977,21
1978,22
1979,30
1980,28
1981,30
1982,20
1983,24
1984,17
1985,21
1986,24
1987,19
1988,21
1989,22
1990,30
1991,26
1992,24
1993,22
1994,25
1995,27
1996,23
1997,16
1998,16
1999,22
2000,22
2001,21
2002,11
2003,15
2004,19
2005,11
2006,15
2007,17
2008,19
2009,12
2010,7
2011,7
2012,6
