year,Sarabeth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,7
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,6
1949,6
1950,0
1951,0
1952,8
1953,0
1954,0
1955,5
1956,0
1957,0
1958,0
1959,0
1960,9
1961,0
1962,0
1963,0
1964,5
1965,8
1966,0
1967,8
1968,0
1969,0
1970,14
1971,9
1972,6
1973,9
1974,12
1975,9
1976,12
1977,10
1978,15
1979,13
1980,61
1981,44
1982,39
1983,20
1984,23
1985,30
1986,38
1987,26
1988,31
1989,30
1990,28
1991,20
1992,24
1993,23
1994,22
1995,15
1996,20
1997,13
1998,19
1999,25
2000,24
2001,25
2002,15
2003,16
2004,12
2005,23
2006,99
2007,46
2008,41
2009,27
2010,26
2011,25
2012,30
