year,Sherill
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,6
1932,5
1933,8
1934,5
1935,5
1936,12
1937,14
1938,20
1939,12
1940,21
1941,31
1942,22
1943,26
1944,20
1945,31
1946,23
1947,47
1948,29
1949,28
1950,27
1951,27
1952,24
1953,24
1954,48
1955,31
1956,39
1957,33
1958,33
1959,44
1960,36
1961,39
1962,24
1963,25
1964,23
1965,22
1966,19
1967,15
1968,27
1969,15
1970,14
1971,16
1972,11
1973,6
1974,10
1975,7
1976,10
1977,9
1978,11
1979,13
1980,5
1981,5
1982,6
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,7
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
