year,Sister
1880,0
1881,0
1882,0
1883,6
1884,0
1885,6
1886,6
1887,0
1888,7
1889,6
1890,6
1891,14
1892,7
1893,9
1894,13
1895,12
1896,12
1897,12
1898,9
1899,10
1900,10
1901,12
1902,17
1903,15
1904,6
1905,11
1906,10
1907,6
1908,11
1909,17
1910,18
1911,20
1912,19
1913,15
1914,21
1915,12
1916,15
1917,18
1918,12
1919,10
1920,8
1921,8
1922,7
1923,5
1924,6
1925,11
1926,5
1927,0
1928,0
1929,7
1930,9
1931,6
1932,9
1933,5
1934,5
1935,7
1936,0
1937,6
1938,0
1939,8
1940,0
1941,8
1942,9
1943,10
1944,9
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
