year,Sulema
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,6
1919,7
1920,8
1921,7
1922,6
1923,11
1924,7
1925,10
1926,9
1927,10
1928,5
1929,6
1930,8
1931,0
1932,12
1933,8
1934,15
1935,13
1936,16
1937,14
1938,10
1939,15
1940,16
1941,20
1942,18
1943,17
1944,22
1945,16
1946,22
1947,23
1948,23
1949,24
1950,20
1951,15
1952,31
1953,21
1954,19
1955,17
1956,19
1957,26
1958,18
1959,25
1960,23
1961,22
1962,25
1963,16
1964,30
1965,14
1966,20
1967,31
1968,17
1969,21
1970,15
1971,20
1972,19
1973,32
1974,24
1975,19
1976,19
1977,20
1978,26
1979,24
1980,27
1981,28
1982,22
1983,25
1984,18
1985,22
1986,23
1987,14
1988,19
1989,18
1990,34
1991,26
1992,31
1993,35
1994,31
1995,25
1996,72
1997,32
1998,37
1999,37
2000,25
2001,39
2002,19
2003,31
2004,31
2005,25
2006,22
2007,16
2008,14
2009,15
2010,16
2011,14
2012,15
