year,Sherman (F),Sherman (M)
1880,0.000000,0.000268
1881,0.000000,0.000244
1882,0.000000,0.000226
1883,0.000000,0.000221
1884,0.000000,0.000283
1885,0.000000,0.000270
1886,0.000000,0.000258
1887,0.000000,0.000315
1888,0.000000,0.000264
1889,0.000000,0.000204
1890,0.000000,0.000222
1891,0.000000,0.000269
1892,0.000000,0.000227
1893,0.000000,0.000218
1894,0.000000,0.000295
1895,0.000000,0.000214
1896,0.000000,0.000280
1897,0.000000,0.000176
1898,0.000000,0.000194
1899,0.000000,0.000192
1900,0.000000,0.000211
1901,0.000000,0.000185
1902,0.000000,0.000202
1903,0.000000,0.000184
1904,0.000000,0.000201
1905,0.000000,0.000170
1906,0.000000,0.000166
1907,0.000000,0.000159
1908,0.000000,0.000241
1909,0.000000,0.000225
1910,0.000000,0.000181
1911,0.000000,0.000191
1912,0.000000,0.000221
1913,0.000000,0.000250
1914,0.000000,0.000227
1915,0.000000,0.000232
1916,0.000003,0.000239
1917,0.000000,0.000233
1918,0.000000,0.000231
1919,0.000000,0.000220
1920,0.000000,0.000215
1921,0.000002,0.000209
1922,0.000002,0.000236
1923,0.000000,0.000220
1924,0.000000,0.000222
1925,0.000000,0.000213
1926,0.000003,0.000206
1927,0.000003,0.000226
1928,0.000000,0.000226
1929,0.000000,0.000230
1930,0.000000,0.000213
1931,0.000002,0.000210
1932,0.000000,0.000205
1933,0.000003,0.000221
1934,0.000000,0.000210
1935,0.000004,0.000244
1936,0.000000,0.000233
1937,0.000000,0.000255
1938,0.000000,0.000236
1939,0.000002,0.000248
1940,0.000002,0.000231
1941,0.000000,0.000229
1942,0.000000,0.000202
1943,0.000000,0.000191
1944,0.000002,0.000190
1945,0.000002,0.000193
1946,0.000000,0.000162
1947,0.000000,0.000160
1948,0.000000,0.000172
1949,0.000000,0.000160
1950,0.000000,0.000181
1951,0.000003,0.000172
1952,0.000002,0.000161
1953,0.000000,0.000158
1954,0.000003,0.000140
1955,0.000002,0.000148
1956,0.000002,0.000129
1957,0.000000,0.000122
1958,0.000001,0.000145
1959,0.000003,0.000122
1960,0.000002,0.000136
1961,0.000000,0.000120
1962,0.000001,0.000122
1963,0.000000,0.000114
1964,0.000000,0.000115
1965,0.000000,0.000113
1966,0.000002,0.000097
1967,0.000000,0.000109
1968,0.000002,0.000104
1969,0.000000,0.000110
1970,0.000001,0.000107
1971,0.000002,0.000112
1972,0.000002,0.000117
1973,0.000002,0.000096
1974,0.000000,0.000108
1975,0.000000,0.000111
1976,0.000000,0.000096
1977,0.000000,0.000095
1978,0.000000,0.000098
1979,0.000000,0.000086
1980,0.000000,0.000088
1981,0.000000,0.000082
1982,0.000002,0.000077
1983,0.000000,0.000073
1984,0.000000,0.000062
1985,0.000002,0.000055
1986,0.000002,0.000053
1987,0.000001,0.000048
1988,0.000000,0.000046
1989,0.000000,0.000051
1990,0.000000,0.000042
1991,0.000000,0.000047
1992,0.000000,0.000046
1993,0.000000,0.000038
1994,0.000000,0.000040
1995,0.000000,0.000031
1996,0.000000,0.000032
1997,0.000000,0.000034
1998,0.000000,0.000028
1999,0.000000,0.000022
2000,0.000000,0.000029
2001,0.000000,0.000024
2002,0.000000,0.000019
2003,0.000000,0.000020
2004,0.000000,0.000017
2005,0.000000,0.000018
2006,0.000000,0.000018
2007,0.000000,0.000014
2008,0.000000,0.000015
2009,0.000000,0.000013
2010,0.000000,0.000012
2011,0.000000,0.000011
2012,0.000000,0.000012
