year,Salvatore (F),Salvatore (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000024
1890,0.000000,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000043
1894,0.000000,0.000018
1895,0.000000,0.000023
1896,0.000000,0.000014
1897,0.000000,0.000026
1898,0.000000,0.000055
1899,0.000000,0.000050
1900,0.000000,0.000049
1901,0.000000,0.000075
1902,0.000000,0.000070
1903,0.000000,0.000089
1904,0.000000,0.000126
1905,0.000000,0.000139
1906,0.000000,0.000149
1907,0.000000,0.000142
1908,0.000000,0.000194
1909,0.000000,0.000188
1910,0.000000,0.000217
1911,0.000000,0.000310
1912,0.000000,0.000379
1913,0.000000,0.000379
1914,0.000000,0.000448
1915,0.000000,0.000437
1916,0.000000,0.000423
1917,0.000000,0.000416
1918,0.000000,0.000418
1919,0.000000,0.000402
1920,0.000000,0.000402
1921,0.000000,0.000406
1922,0.000000,0.000440
1923,0.000003,0.000440
1924,0.000000,0.000430
1925,0.000003,0.000430
1926,0.000003,0.000432
1927,0.000003,0.000457
1928,0.000004,0.000426
1929,0.000002,0.000423
1930,0.000003,0.000396
1931,0.000000,0.000364
1932,0.000000,0.000355
1933,0.000000,0.000337
1934,0.000000,0.000308
1935,0.000000,0.000285
1936,0.000000,0.000278
1937,0.000003,0.000252
1938,0.000002,0.000240
1939,0.000000,0.000242
1940,0.000000,0.000231
1941,0.000000,0.000219
1942,0.000000,0.000218
1943,0.000000,0.000217
1944,0.000000,0.000199
1945,0.000000,0.000179
1946,0.000000,0.000157
1947,0.000000,0.000165
1948,0.000000,0.000170
1949,0.000000,0.000174
1950,0.000000,0.000176
1951,0.000000,0.000162
1952,0.000000,0.000156
1953,0.000000,0.000161
1954,0.000000,0.000160
1955,0.000000,0.000167
1956,0.000000,0.000149
1957,0.000000,0.000145
1958,0.000000,0.000134
1959,0.000000,0.000141
1960,0.000000,0.000141
1961,0.000000,0.000135
1962,0.000000,0.000149
1963,0.000000,0.000143
1964,0.000000,0.000140
1965,0.000000,0.000155
1966,0.000000,0.000148
1967,0.000000,0.000151
1968,0.000000,0.000157
1969,0.000000,0.000144
1970,0.000002,0.000141
1971,0.000000,0.000136
1972,0.000003,0.000134
1973,0.000000,0.000131
1974,0.000000,0.000125
1975,0.000002,0.000131
1976,0.000000,0.000120
1977,0.000000,0.000110
1978,0.000000,0.000108
1979,0.000000,0.000103
1980,0.000000,0.000106
1981,0.000000,0.000096
1982,0.000000,0.000102
1983,0.000000,0.000090
1984,0.000000,0.000085
1985,0.000000,0.000096
1986,0.000001,0.000090
1987,0.000000,0.000098
1988,0.000000,0.000101
1989,0.000000,0.000085
1990,0.000000,0.000082
1991,0.000000,0.000096
1992,0.000000,0.000088
1993,0.000000,0.000089
1994,0.000000,0.000087
1995,0.000000,0.000086
1996,0.000000,0.000081
1997,0.000000,0.000076
1998,0.000000,0.000082
1999,0.000000,0.000080
2000,0.000000,0.000091
2001,0.000000,0.000070
2002,0.000000,0.000092
2003,0.000000,0.000071
2004,0.000000,0.000080
2005,0.000000,0.000077
2006,0.000000,0.000063
2007,0.000000,0.000066
2008,0.000000,0.000059
2009,0.000000,0.000061
2010,0.000000,0.000062
2011,0.000000,0.000066
2012,0.000000,0.000062
