year,Samual (F),Samual (M)
1880,0.000000,0.000025
1881,0.000000,0.000042
1882,0.000000,0.000045
1883,0.000000,0.000028
1884,0.000000,0.000021
1885,0.000000,0.000021
1886,0.000000,0.000023
1887,0.000000,0.000000
1888,0.000000,0.000027
1889,0.000000,0.000017
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000014
1898,0.000000,0.000021
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000020
1902,0.000000,0.000026
1903,0.000000,0.000016
1904,0.000000,0.000000
1905,0.000000,0.000014
1906,0.000000,0.000019
1907,0.000000,0.000017
1908,0.000000,0.000018
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000009
1912,0.000000,0.000012
1913,0.000000,0.000011
1914,0.000000,0.000010
1915,0.000000,0.000014
1916,0.000000,0.000010
1917,0.000000,0.000015
1918,0.000000,0.000013
1919,0.000000,0.000011
1920,0.000000,0.000015
1921,0.000000,0.000014
1922,0.000000,0.000014
1923,0.000000,0.000012
1924,0.000000,0.000013
1925,0.000000,0.000017
1926,0.000000,0.000014
1927,0.000000,0.000015
1928,0.000000,0.000017
1929,0.000000,0.000019
1930,0.000000,0.000016
1931,0.000000,0.000012
1932,0.000000,0.000013
1933,0.000000,0.000011
1934,0.000000,0.000013
1935,0.000000,0.000016
1936,0.000000,0.000019
1937,0.000000,0.000013
1938,0.000000,0.000014
1939,0.000000,0.000015
1940,0.000000,0.000011
1941,0.000000,0.000013
1942,0.000000,0.000012
1943,0.000000,0.000013
1944,0.000000,0.000015
1945,0.000000,0.000010
1946,0.000000,0.000009
1947,0.000000,0.000007
1948,0.000000,0.000010
1949,0.000000,0.000008
1950,0.000000,0.000015
1951,0.000000,0.000008
1952,0.000000,0.000008
1953,0.000000,0.000010
1954,0.000000,0.000010
1955,0.000000,0.000007
1956,0.000000,0.000009
1957,0.000000,0.000011
1958,0.000000,0.000010
1959,0.000000,0.000011
1960,0.000000,0.000013
1961,0.000000,0.000010
1962,0.000000,0.000011
1963,0.000000,0.000010
1964,0.000000,0.000011
1965,0.000000,0.000012
1966,0.000000,0.000011
1967,0.000000,0.000010
1968,0.000000,0.000010
1969,0.000000,0.000010
1970,0.000000,0.000012
1971,0.000000,0.000010
1972,0.000000,0.000015
1973,0.000000,0.000014
1974,0.000000,0.000015
1975,0.000000,0.000015
1976,0.000000,0.000016
1977,0.000000,0.000018
1978,0.000000,0.000016
1979,0.000000,0.000020
1980,0.000000,0.000021
1981,0.000000,0.000017
1982,0.000000,0.000018
1983,0.000000,0.000016
1984,0.000000,0.000015
1985,0.000000,0.000016
1986,0.000000,0.000017
1987,0.000000,0.000019
1988,0.000000,0.000022
1989,0.000000,0.000024
1990,0.000000,0.000022
1991,0.000000,0.000021
1992,0.000000,0.000020
1993,0.000000,0.000027
1994,0.000000,0.000021
1995,0.000000,0.000027
1996,0.000000,0.000027
1997,0.000000,0.000035
1998,0.000000,0.000032
1999,0.000000,0.000028
2000,0.000000,0.000025
2001,0.000000,0.000028
2002,0.000000,0.000030
2003,0.000000,0.000023
2004,0.000000,0.000025
2005,0.000000,0.000024
2006,0.000000,0.000021
2007,0.000000,0.000019
2008,0.000000,0.000021
2009,0.000000,0.000020
2010,0.000000,0.000016
2011,0.000000,0.000016
2012,0.000000,0.000013
2013,0.000000,0.000012
