year,Sharyl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,8
1938,15
1939,22
1940,22
1941,17
1942,42
1943,63
1944,59
1945,67
1946,61
1947,91
1948,65
1949,79
1950,72
1951,80
1952,69
1953,71
1954,48
1955,62
1956,80
1957,79
1958,92
1959,77
1960,105
1961,131
1962,93
1963,114
1964,101
1965,104
1966,96
1967,68
1968,62
1969,70
1970,44
1971,43
1972,32
1973,24
1974,14
1975,17
1976,12
1977,14
1978,14
1979,16
1980,9
1981,13
1982,12
1983,10
1984,13
1985,13
1986,6
1987,11
1988,8
1989,7
1990,0
1991,9
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
