year,Sharla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,7
1933,5
1934,6
1935,9
1936,9
1937,10
1938,14
1939,20
1940,19
1941,31
1942,27
1943,22
1944,27
1945,43
1946,40
1947,48
1948,50
1949,56
1950,69
1951,68
1952,71
1953,95
1954,93
1955,78
1956,101
1957,124
1958,117
1959,156
1960,136
1961,158
1962,172
1963,160
1964,171
1965,198
1966,178
1967,166
1968,190
1969,159
1970,197
1971,225
1972,240
1973,193
1974,195
1975,181
1976,171
1977,138
1978,155
1979,120
1980,127
1981,111
1982,124
1983,94
1984,108
1985,89
1986,74
1987,74
1988,59
1989,49
1990,74
1991,58
1992,31
1993,40
1994,29
1995,24
1996,22
1997,12
1998,23
1999,16
2000,16
2001,16
2002,16
2003,11
2004,17
2005,8
2006,16
2007,21
2008,15
2009,15
2010,16
2011,8
2012,7
