year,Sigrid
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,8
1887,5
1888,9
1889,12
1890,9
1891,11
1892,23
1893,25
1894,26
1895,22
1896,7
1897,21
1898,16
1899,19
1900,11
1901,14
1902,12
1903,16
1904,11
1905,16
1906,22
1907,21
1908,19
1909,14
1910,16
1911,23
1912,29
1913,23
1914,30
1915,48
1916,46
1917,40
1918,30
1919,48
1920,34
1921,20
1922,22
1923,21
1924,22
1925,15
1926,17
1927,11
1928,13
1929,16
1930,19
1931,12
1932,22
1933,16
1934,24
1935,28
1936,33
1937,22
1938,44
1939,43
1940,50
1941,44
1942,53
1943,44
1944,48
1945,36
1946,35
1947,38
1948,38
1949,37
1950,35
1951,32
1952,43
1953,34
1954,37
1955,26
1956,32
1957,23
1958,26
1959,33
1960,24
1961,36
1962,35
1963,35
1964,22
1965,23
1966,24
1967,26
1968,38
1969,20
1970,27
1971,33
1972,18
1973,14
1974,18
1975,14
1976,15
1977,10
1978,10
1979,5
1980,14
1981,15
1982,6
1983,10
1984,9
1985,10
1986,8
1987,8
1988,11
1989,16
1990,14
1991,17
1992,6
1993,15
1994,15
1995,15
1996,7
1997,9
1998,7
1999,11
2000,14
2001,8
2002,10
2003,12
2004,0
2005,16
2006,17
2007,11
2008,15
2009,11
2010,11
2011,15
2012,11
