year,Shelton (F),Shelton (M)
1880,0.000000,0.000035
1881,0.000000,0.000000
1882,0.000000,0.000045
1883,0.000000,0.000037
1884,0.000000,0.000029
1885,0.000000,0.000033
1886,0.000000,0.000024
1887,0.000000,0.000040
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000022
1894,0.000000,0.000027
1895,0.000000,0.000017
1896,0.000000,0.000017
1897,0.000000,0.000014
1898,0.000000,0.000021
1899,0.000000,0.000027
1900,0.000000,0.000016
1901,0.000000,0.000017
1902,0.000000,0.000018
1903,0.000000,0.000021
1904,0.000000,0.000027
1905,0.000000,0.000033
1906,0.000000,0.000023
1907,0.000000,0.000013
1908,0.000000,0.000037
1909,0.000000,0.000031
1910,0.000000,0.000044
1911,0.000000,0.000011
1912,0.000000,0.000023
1913,0.000000,0.000032
1914,0.000000,0.000036
1915,0.000000,0.000032
1916,0.000000,0.000023
1917,0.000000,0.000038
1918,0.000000,0.000036
1919,0.000000,0.000036
1920,0.000000,0.000035
1921,0.000000,0.000036
1922,0.000000,0.000034
1923,0.000000,0.000027
1924,0.000000,0.000041
1925,0.000000,0.000035
1926,0.000000,0.000031
1927,0.000000,0.000037
1928,0.000000,0.000029
1929,0.000000,0.000033
1930,0.000000,0.000030
1931,0.000000,0.000025
1932,0.000000,0.000035
1933,0.000000,0.000036
1934,0.000000,0.000037
1935,0.000000,0.000046
1936,0.000000,0.000045
1937,0.000000,0.000054
1938,0.000000,0.000041
1939,0.000000,0.000043
1940,0.000000,0.000043
1941,0.000000,0.000049
1942,0.000000,0.000038
1943,0.000002,0.000036
1944,0.000000,0.000039
1945,0.000000,0.000040
1946,0.000000,0.000028
1947,0.000000,0.000034
1948,0.000000,0.000038
1949,0.000001,0.000038
1950,0.000000,0.000035
1951,0.000000,0.000034
1952,0.000000,0.000033
1953,0.000000,0.000033
1954,0.000000,0.000032
1955,0.000000,0.000037
1956,0.000000,0.000036
1957,0.000000,0.000031
1958,0.000000,0.000039
1959,0.000000,0.000035
1960,0.000000,0.000036
1961,0.000000,0.000034
1962,0.000000,0.000035
1963,0.000002,0.000038
1964,0.000001,0.000040
1965,0.000000,0.000043
1966,0.000002,0.000043
1967,0.000000,0.000042
1968,0.000000,0.000041
1969,0.000002,0.000046
1970,0.000000,0.000039
1971,0.000000,0.000049
1972,0.000002,0.000057
1973,0.000002,0.000044
1974,0.000000,0.000047
1975,0.000002,0.000056
1976,0.000000,0.000051
1977,0.000000,0.000044
1978,0.000000,0.000043
1979,0.000002,0.000044
1980,0.000002,0.000035
1981,0.000000,0.000036
1982,0.000000,0.000034
1983,0.000000,0.000033
1984,0.000000,0.000033
1985,0.000000,0.000033
1986,0.000002,0.000029
1987,0.000001,0.000037
1988,0.000000,0.000041
1989,0.000001,0.000039
1990,0.000000,0.000039
1991,0.000001,0.000041
1992,0.000000,0.000038
1993,0.000002,0.000042
1994,0.000002,0.000037
1995,0.000002,0.000034
1996,0.000002,0.000036
1997,0.000002,0.000034
1998,0.000002,0.000030
1999,0.000000,0.000030
2000,0.000002,0.000028
2001,0.000002,0.000025
2002,0.000002,0.000029
2003,0.000000,0.000028
2004,0.000000,0.000027
2005,0.000000,0.000025
2006,0.000000,0.000025
2007,0.000002,0.000021
2008,0.000001,0.000019
2009,0.000000,0.000017
2010,0.000000,0.000016
2011,0.000000,0.000020
2012,0.000000,0.000017
2013,0.000001,0.000016
2014,0.000000,0.000015
2015,0.000000,0.000017
2016,0.000000,0.000011
2017,0.000000,0.000013
2018,0.000000,0.000007
2019,0.000000,0.000009
2020,0.000000,0.000010
