year,Suzzanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,8
1940,7
1941,11
1942,6
1943,7
1944,9
1945,8
1946,18
1947,18
1948,26
1949,25
1950,20
1951,17
1952,22
1953,17
1954,20
1955,20
1956,25
1957,18
1958,14
1959,19
1960,17
1961,15
1962,26
1963,22
1964,27
1965,18
1966,14
1967,20
1968,22
1969,17
1970,20
1971,22
1972,14
1973,15
1974,13
1975,8
1976,8
1977,5
1978,15
1979,12
1980,6
1981,12
1982,7
1983,0
1984,6
1985,8
1986,0
1987,0
1988,5
1989,5
1990,0
1991,5
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
