year,Starlet
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,9
1943,5
1944,5
1945,0
1946,5
1947,11
1948,9
1949,13
1950,16
1951,16
1952,20
1953,22
1954,20
1955,18
1956,20
1957,28
1958,17
1959,12
1960,23
1961,18
1962,23
1963,27
1964,24
1965,22
1966,27
1967,14
1968,18
1969,24
1970,17
1971,16
1972,18
1973,15
1974,18
1975,14
1976,15
1977,12
1978,20
1979,13
1980,26
1981,29
1982,22
1983,15
1984,12
1985,16
1986,10
1987,14
1988,10
1989,7
1990,8
1991,5
1992,0
1993,7
1994,5
1995,0
1996,6
1997,5
1998,5
1999,5
2000,0
2001,5
2002,0
2003,12
2004,7
2005,9
2006,6
2007,11
2008,14
2009,14
2010,9
2011,12
2012,7
