year,Sabrena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,24
1956,24
1957,20
1958,34
1959,32
1960,42
1961,38
1962,58
1963,48
1964,31
1965,40
1966,53
1967,94
1968,67
1969,81
1970,107
1971,73
1972,50
1973,29
1974,27
1975,37
1976,29
1977,51
1978,29
1979,36
1980,35
1981,30
1982,31
1983,36
1984,25
1985,28
1986,21
1987,20
1988,30
1989,38
1990,26
1991,30
1992,34
1993,38
1994,45
1995,47
1996,51
1997,41
1998,23
1999,32
2000,19
2001,21
2002,13
2003,18
2004,8
2005,14
2006,15
2007,8
2008,9
2009,7
2010,9
2011,0
2012,9
