year,Sydney (F),Sydney (M)
1880,0.000000,0.000060
1881,0.000000,0.000031
1882,0.000000,0.000045
1883,0.000000,0.000051
1884,0.000000,0.000053
1885,0.000000,0.000104
1886,0.000031,0.000039
1887,0.000000,0.000057
1888,0.000020,0.000060
1889,0.000000,0.000062
1890,0.000020,0.000036
1891,0.000000,0.000028
1892,0.000018,0.000045
1893,0.000000,0.000071
1894,0.000000,0.000062
1895,0.000000,0.000068
1896,0.000014,0.000045
1897,0.000000,0.000043
1898,0.000000,0.000029
1899,0.000018,0.000050
1900,0.000000,0.000029
1901,0.000020,0.000038
1902,0.000013,0.000034
1903,0.000013,0.000060
1904,0.000015,0.000069
1905,0.000050,0.000066
1906,0.000014,0.000047
1907,0.000015,0.000043
1908,0.000023,0.000057
1909,0.000031,0.000057
1910,0.000025,0.000071
1911,0.000019,0.000084
1912,0.000012,0.000116
1913,0.000018,0.000128
1914,0.000016,0.000127
1915,0.000015,0.000094
1916,0.000020,0.000106
1917,0.000016,0.000090
1918,0.000020,0.000086
1919,0.000019,0.000076
1920,0.000013,0.000078
1921,0.000010,0.000072
1922,0.000013,0.000070
1923,0.000019,0.000058
1924,0.000014,0.000053
1925,0.000011,0.000055
1926,0.000009,0.000049
1927,0.000016,0.000048
1928,0.000012,0.000043
1929,0.000015,0.000041
1930,0.000013,0.000037
1931,0.000019,0.000036
1932,0.000034,0.000045
1933,0.000054,0.000044
1934,0.000050,0.000039
1935,0.000045,0.000038
1936,0.000047,0.000039
1937,0.000043,0.000044
1938,0.000039,0.000034
1939,0.000035,0.000036
1940,0.000037,0.000030
1941,0.000070,0.000034
1942,0.000068,0.000037
1943,0.000067,0.000027
1944,0.000054,0.000029
1945,0.000050,0.000033
1946,0.000048,0.000024
1947,0.000038,0.000024
1948,0.000040,0.000021
1949,0.000051,0.000025
1950,0.000058,0.000022
1951,0.000056,0.000016
1952,0.000055,0.000016
1953,0.000040,0.000020
1954,0.000036,0.000014
1955,0.000033,0.000012
1956,0.000029,0.000016
1957,0.000028,0.000012
1958,0.000025,0.000016
1959,0.000033,0.000015
1960,0.000031,0.000013
1961,0.000031,0.000014
1962,0.000025,0.000013
1963,0.000039,0.000013
1964,0.000043,0.000017
1965,0.000046,0.000014
1966,0.000048,0.000012
1967,0.000038,0.000016
1968,0.000030,0.000013
1969,0.000031,0.000009
1970,0.000029,0.000016
1971,0.000030,0.000012
1972,0.000027,0.000013
1973,0.000021,0.000010
1974,0.000016,0.000012
1975,0.000030,0.000009
1976,0.000040,0.000009
1977,0.000028,0.000012
1978,0.000035,0.000011
1979,0.000034,0.000008
1980,0.000038,0.000008
1981,0.000045,0.000011
1982,0.000044,0.000015
1983,0.000058,0.000009
1984,0.000082,0.000011
1985,0.000123,0.000010
1986,0.000130,0.000012
1987,0.000181,0.000014
1988,0.000247,0.000015
1989,0.000310,0.000021
1990,0.000513,0.000019
1991,0.000611,0.000020
1992,0.000705,0.000024
1993,0.000809,0.000030
1994,0.001275,0.000023
1995,0.002009,0.000028
1996,0.001991,0.000035
1997,0.002216,0.000032
1998,0.002325,0.000032
1999,0.002612,0.000030
2000,0.002710,0.000033
2001,0.002575,0.000029
2002,0.002417,0.000020
2003,0.002344,0.000020
2004,0.002191,0.000026
2005,0.001919,0.000020
2006,0.001648,0.000018
2007,0.001509,0.000017
2008,0.001339,0.000021
2009,0.001325,0.000015
2010,0.001173,0.000020
2011,0.001087,0.000018
2012,0.000945,0.000015
2013,0.000872,0.000014
2014,0.000771,0.000014
2015,0.000720,0.000014
2016,0.000633,0.000013
2017,0.000564,0.000011
2018,0.000501,0.000010
2019,0.000443,0.000012
2020,0.000373,0.000009
