year,Selah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,6
1973,5
1974,7
1975,0
1976,6
1977,8
1978,14
1979,9
1980,11
1981,10
1982,16
1983,7
1984,6
1985,8
1986,12
1987,16
1988,9
1989,8
1990,11
1991,16
1992,19
1993,24
1994,16
1995,40
1996,40
1997,33
1998,53
1999,107
2000,123
2001,123
2002,161
2003,188
2004,179
2005,267
2006,328
2007,344
2008,384
2009,425
2010,467
2011,515
2012,578
