year,Stevenson
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,0
1915,0
1916,11
1917,0
1918,5
1919,0
1920,6
1921,5
1922,0
1923,0
1924,6
1925,7
1926,0
1927,5
1928,0
1929,0
1930,0
1931,5
1932,0
1933,5
1934,0
1935,6
1936,5
1937,8
1938,8
1939,0
1940,7
1941,0
1942,8
1943,7
1944,7
1945,8
1946,8
1947,14
1948,16
1949,14
1950,20
1951,30
1952,29
1953,37
1954,28
1955,26
1956,25
1957,22
1958,29
1959,20
1960,23
1961,18
1962,20
1963,22
1964,19
1965,14
1966,22
1967,21
1968,14
1969,19
1970,20
1971,30
1972,14
1973,16
1974,12
1975,21
1976,17
1977,18
1978,15
1979,20
1980,21
1981,20
1982,19
1983,19
1984,23
1985,28
1986,33
1987,23
1988,25
1989,28
1990,20
1991,31
1992,26
1993,15
1994,27
1995,16
1996,15
1997,16
1998,21
1999,16
2000,16
2001,13
2002,10
2003,20
2004,21
2005,9
2006,11
2007,7
2008,20
2009,12
2010,8
2011,9
2012,13
